Beric D Encounters:
Bryce C (Lord Caron), Beric D (Beric Dondarrion), 18970, "in a grove. The others�well, Beric Dondarrion is gone missing, some say dead, and Lord Caron"
Renly B (Renly), Beric D (Beric Dondarrion), 18984, "The others�well, Beric Dondarrion is gone missing, some say dead, and Lord Caron is with Renly"
Beric D (Beric), Karyl V (Karyl Vance), 210913, "Twins. Marq Piper and Karyl Vance have won some small victories, and this southron lordling Beric"
Tywin L (Tywin), Beric D (Beric Dondarrion), 210978, "victories, and this southron lordling Beric Dondarrion has been raiding the raiders, falling upon Lord Tywin"
Eddard S (Ned), Beric D (Lord Beric), 211213, "one of Lord Beric�s traps and got every man of them killed.�  �Some of Ned"
Beric D (Lord Beric), Eddard S (Ned), 211266, "of them killed.�  �Some of Ned�s guard from King�s Landing are with this Lord Beric"
Catelyn S (Catelyn), Beric D (Lord Beric), 211276, "them killed.�  �Some of Ned�s guard from King�s Landing are with this Lord Beric,� Catelyn"
Arya S (Arya), Beric D (Lord Beric), 398742, "red. �Lord Beric�s sigil is a purple lightning bolt on a black field.�  Suddenly Arya"
Beric D (Beric), Balon S (Balon Swann), 503632, "it was one of the Redwyne twins, or bold Ser Balon Swann � or even Beric"
Jeyne P (Jeyne), Beric D (Beric Dondarrion), 503676, "or bold Ser Balon Swann � or even Beric Dondarrion, the young lord her friend Jeyne"
Arya S (Arya), Beric D (Beric Dondarrion), 746486, "Where was Lord Beric Dondarrion? How many men were with him? By the third day, Arya"
Beric D (Beric), Weese (Weese), 825243, "archers. Weese said the archer had started all the trouble by taunting the sellswords over Beric"
Vargo H (Vargo), Beric D (Beric Dondarrion), 825303, "trouble by taunting the sellswords over Beric Dondarrion. After the hanged men had stopped kicking, Vargo"
Harys S (Harys), Beric D (Beric Dondarrion), 825322, "sellswords over Beric Dondarrion. After the hanged men had stopped kicking, Vargo Hoat and Ser Harys"
Arya S (Arya), Beric D (Beric Dondarrion), 831342, "all the way around the lake chasing Beric Dondarrion and slaying rebels. We weren�t rebels, Arya"
Arya S (Arya), Beric D (Lord Beric), 836598, "She heard he�d lost four men in one of Lord Beric�s night raids, but those Arya"
