Beth C Encounters:
Beth C (Beth), Bran S (Bran), 455731, "match.�  �Why can�t you marry her?� Bran asked. �You said she was comely, and Beth"
Bran S (Bran), Beth C (Beth), 455788, "comely, and Beth would have a mother.�  The old knight put a hand on Bran"
Beth C (Beth), Donella H (Lady Hornwood), 455997, "soon as I died Lady Hornwood would find herself back in the same mire, and Beth"
Martyn R (Martyn), Beth C (Beth), 465134, "times and my wives gave me daughters. Now only Beth remains to me. My brother Martyn"
Jory C (Jory), Beth C (Beth), 465175, "Now only Beth remains to me. My brother Martyn fathered four strong sons, yet only Jory"
Beth C (Beth), Bran S (Bran), 581648, "high seat of his fathers.  Ser Rodrik was seated to Bran�s left, his daughter Beth"
Beth C (Beth), Rodrik C (Ser Rodrik), 581648, "high seat of his fathers.  Ser Rodrik was seated to Bran�s left, his daughter Beth"
Rickon (Rickon), Beth C (Beth), 581667, "his fathers.  Ser Rodrik was seated to Bran�s left, his daughter Beth beside him. Rickon"
Beth C (Beth), Luwin (Maester Luwin), 584337, "rumbling roar, a great heady stew of sound. Ser Rodrik talked with Maester Luwin above Beth"
Beth C (Beth), Rodrik C (Ser Rodrik), 584337, "rumbling roar, a great heady stew of sound. Ser Rodrik talked with Maester Luwin above Beth"
Rickon (Rickon), Beth C (Beth), 584364, "heady stew of sound. Ser Rodrik talked with Maester Luwin above Beth�s curly head, while Rickon"
Bran S (Bran), Beth C (Beth), 584402, "talked with Maester Luwin above Beth�s curly head, while Rickon screamed happily at the Walders. Bran"
Beth C (Beth), Hodor (Hodor), 595875, "soon joined in. Hodor began to dance all by himself, while Lord Wyman asked little Beth"
Beth C (Beth), Wyman M (Wyman), 595875, "soon joined in. Hodor began to dance all by himself, while Lord Wyman asked little Beth"
Cley C (Cley), Beth C (Beth Cassel), 595957, "Beth Cassel to partner him. For all his size, he moved gracefully. When he tired, Cley"
Theon G (Theon), Beth C (Beth Cassel), 1196118, "Poxy Tym wept inconsolably, and Beth Cassel cried with fear.  �What have we here?� Theon"
Rodrik C (Ser Rodrik), Beth C (Beth), 1649127, " �And no harm will be done your Beth, so long as you��  Ser Rodrik"
Rodrik C (Ser Rodrik), Beth C (Beth), 1649866, "you will watch your little Beth strangle at the end of a rope.�  Ser Rodrik"
Beth C (Beth), Catelyn S (Catelyn), 1650112, "�I have a duty to Lady Catelyn and House Stark.�  �And your own House? Beth"
Theon G (Theon), Beth C (Beth), 1650821, "is still in arms before my gate when the sun sets, Beth will hang,� said Theon"
Theon G (Theon), Beth C (Beth Cassel), 1651365, "faces looming larger with every yard; between them stood little Beth Cassel, noosed and crying. Theon"
