Boros B Encounters:
Boros B (Boros), Robb S (Robb), 70154, "Robb had been proclaimed King in the North, his rage had been a fearsome thing, and he had sent Ser Boros"
Arys O (Arys), Boros B (Boros), 70192, "rage had been a fearsome thing, and he had sent Ser Boros to beat her.  �Shall we go?� Ser Arys"
Boros B (Boros), Sansa S (Sansa), 70351, "her chamber. If she must have one of the Kingsguard dogging her steps, Sansa preferred that it be him. Ser Boros"
Meryn T (Meryn), Boros B (Boros), 70381, "must have one of the Kingsguard dogging her steps, Sansa preferred that it be him. Ser Boros was short-tempered, Ser Meryn"
Mandon M (Mandon), Boros B (Boros), 70402, "the Kingsguard dogging her steps, Sansa preferred that it be him. Ser Boros was short-tempered, Ser Meryn cold, and Ser Mandon"
Preston G (Preston), Boros B (Boros), 70457, "be him. Ser Boros was short-tempered, Ser Meryn cold, and Ser Mandon�s strange dead eyes made her uneasy, while Ser Preston"
Boros B (Boros), Meryn T (Meryn), 70680, "commanded him to hit her. He did hit her in the end, but not hard as Ser Meryn or Ser Boros"
Sandor C (Hound), Boros B (Boros), 70778, "or Ser Boros might have, and at least he had argued. The others obeyed without question � except for the Hound"
Joffrey B (Joff), Boros B (Boros), 70788, "Boros might have, and at least he had argued. The others obeyed without question � except for the Hound, but Joff"
Boros B (Boros), Hosteen F (Ser Hosteen), 359026, "Mallister fell before me, and Bronze Yohn Royce. Ser Ryman Frey, his brother Ser Hosteen, Lord Whent, Strongboar, even Ser Boros"
Boros B (Boros), Jason M (Jason Mallister), 359026, "Mallister fell before me, and Bronze Yohn Royce. Ser Ryman Frey, his brother Ser Hosteen, Lord Whent, Strongboar, even Ser Boros"
Boros B (Boros), Ryman F (Ryman Frey), 359026, "Mallister fell before me, and Bronze Yohn Royce. Ser Ryman Frey, his brother Ser Hosteen, Lord Whent, Strongboar, even Ser Boros"
Jaime L (Jaime), Boros B (Boros Blount), 359126, "even Ser Boros Blount of the Kingsguard, I unhorsed them all. In the last match, I broke nine lances against Jaime"
