Desmond G Encounters:
Desmond G (Desmond), Edmure T (Edmure), 206791, "with me, Edmure.�  �I need to have a word with those new bowmen Ser Desmond"
Catelyn S (Catelyn), Desmond G (Desmond), 206855, "new bowmen Ser Desmond is training. I�ll visit him later.�  If he still lives, Catelyn"
Desmond G (Desmond), Alyn S (Alyn), 589025, "were new men at the tables. Jory was dead, and Fat Tom, and Porther, Alyn, Desmond"
Desmond G (Desmond), Jory C (Jory), 589025, "were new men at the tables. Jory was dead, and Fat Tom, and Porther, Alyn, Desmond"
Desmond G (Desmond), Joffrey B (Prince Joffrey), 752479, "Prince Joffrey and the queen for the sake of her father and Fat Tom and Desmond"
Sansa S (Sansa), Desmond G (Desmond), 752518, "of her father and Fat Tom and Desmond and the rest, and even for Lady, Sansa"
Robin F (Robin), Desmond G (Desmond Grell), 1005719, "her father�s sworn men�great-bellied Ser Desmond Grell the master-at-arms, Utherydes Wayn the steward, and Ser Robin"
Desmond G (Desmond), Edmure T (Edmure Tully), 1008029, "Ser Edmure Tully, heir to Riverrun. His steward Utherydes Wayn. Ser Robin Ryger and Ser Desmond"
Desmond G (Desmond), Robin F (Robin Ryger), 1008029, "Ser Edmure Tully, heir to Riverrun. His steward Utherydes Wayn. Ser Robin Ryger and Ser Desmond"
Edmure T (Edmure), Desmond G (Desmond), 1008165, "Desmond. The others echoed him. The girl flushed, embarrassed even at this commonplace courtesy. If Edmure"
Desmond G (Desmond), Jaime L (Jaime), 1010224, "�Yes, though not easily. Jaime got hold of a sword, slew Poul Pemford and Ser Desmond"
Vyman (Vyman), Desmond G (Desmond), 1010285, "slew Poul Pemford and Ser Desmond�s squire Myles, and wounded Delp so badly that Maester Vyman"
Desmond G (Desmond), Robb S (Robb), 1012235, " �Can Robb be reached by raven?�  �He�s in the field, my lady,� Ser Desmond"
Catelyn S (Catelyn), Desmond G (Desmond), 1168693, "banners flapping in the wind. �No more than fifty, my lady,� Ser Desmond estimated.  Catelyn"
Jason M (Jason), Desmond G (Desmond), 1168750, "Ser Desmond estimated.  Catelyn watched the riders spread out in a long line. Lord Jason"
Hoster T (Lord Hoster), Desmond G (Desmond), 1169688, "already too far off to hear.  Ser Desmond slapped his belly. �Would that Lord Hoster"
Desmond G (Desmond), Catelyn S (Catelyn), 1180922, "no songs until the fighting�s done,� Catelyn said, perhaps too sharply. Yet she allowed Ser Desmond"
Edmure T (Edmure), Desmond G (Desmond), 1396208, "Ser Desmond had brought twenty casks up from the cellars, and the smallfolk were celebrating Edmure"
