Devan Encounters:
Marya (Marya), Devan (Devan), 264435, "had taken Devan as a royal squire. One day he would be knighted, and the two little lads as well. Marya"
Devan (Devan), Davos S (Davos), 266107, "strode forward like a soldier marching into battle. His squires stepped up to attend him. Davos watched as his son Devan"
Devan (Devan), Davos S (Davos), 269285, "precious sword. Davos and his sons joined the crowd making its way down to the shore and the waiting ships. �Devan"
Allard (Allard), Devan (Devan), 269401, "acquitted himself well,� he said as they went.  �He fetched the glove without dropping it, yes,� said Dale.  Allard"
Devan (Devan), Allard (Allard), 269430, "as they went.  �He fetched the glove without dropping it, yes,� said Dale.  Allard nodded. �That badge on Devan"
Davos S (Davos), Devan (Devan), 281958, "at once.�  It was good to see Devan looking so splendid in his squire�s raiment, but the summons made Davos"
Steffon B (Steffon), Devan (Devan), 284545, "as any, but letters and other writings were beyond his powers. But my Devan has learned his letters, and young Steffon"
Stannis B (Stannis), Devan (Devan), 284557, "but letters and other writings were beyond his powers. But my Devan has learned his letters, and young Steffon and Stannis"
Devan (Devan), Davos S (Davos), 1079112, "arrival, only to be told that the king was occupied. The king was often occupied, Davos learned from his son Devan"
Stannis B (Stannis), Devan (Devan), 1079156, "was occupied. The king was often occupied, Davos learned from his son Devan, one of the royal squires. Now that Stannis"
Renly B (Renly), Devan (Devan), 1079382, "a corpse too, years older than when I left Dragonstone. Devan said the king scarcely slept of late. �Since Lord Renly"
Devan (Devan), Stannis B (Stannis), 1094892, "candles, a woman screaming. And blood.� Stannis looked down at his hands. �I was still abed when he died. Your Devan"
Devan (Devan), Renly B (Renly), 1095064, "my lords were waiting, fretting. I should have been ahorse, armored. I knew Renly would attack at break of day. Devan"
Devan (Devan), Melisandre (Melisandre), 1097060, "them dismount. One of the guards relieved Melisandre of her cumbersome standard, driving the staff deep into the soft ground. Devan"
Devan (Devan), Stannis B (Stannis), 1097215, "the flap for the king. An older squire waited beside him. Stannis took off his crown and handed it to Devan"
Davos S (Davos), Devan (Devan), 1097249, "older squire waited beside him. Stannis took off his crown and handed it to Devan. �Cold water, cups for two. Davos"
Devan (Devan), Tywin L (Tywin Lannister), 1099441, "Lannister rushes west to rescue Lannisport from the vengeance of the northmen ��  �You have a passing clever father, Devan"
Devan (Devan), Stannis B (Stannis), 1101884, "the manner of it. He will not die in knightly combat, needless to say.� Stannis held out his cup, and Devan"
Renly B (Renly), Devan (Devan), 1101955, "Stannis held out his cup, and Devan filled it again from the flagon. �Her flames do not lie. She saw Renly"
