Hallyne Encounters:
Hallyne (Hallyne), Gyles R (Gyles Rosby), 483161, "bow slung from his silver-inlay saddle; Lord Gyles Rosby, his wheezing cough worse than ever; Hallyne"
Lancel L (Lancel), Hallyne (Pyromancer), 483259, "Hallyne the Pyromancer of the Alchemists� Guild; and the queen�s newest favorite, their cousin Ser Lancel"
Tyrion L (Tyrion), Hallyne (Pyromancer), 552828, "Pyromancer carried so gingerly.  Gingerly indeed � and these would be the ginger jars. Tyrion"
Hallyne (Hallyne), Aerys T (Aerys), 556841, "four thousand jars from King Aerys�s day, to be sure.�  �Our overripe fruits?�  Hallyne"
Hallyne (Hallyne), Tyrion L (Tyrion), 558275, "the blaze at once.�  �Not to mention the careless acolyte.� By spell Tyrion imagined Hallyne"
Timett (Timett), Hallyne (Hallyne), 562242, "near the foot of Visenya�s Hill. He bid Hallyne farewell and waddled down to where Timett"
Tyrion L (Tyrion), Hallyne (Pyromancer), 1277366, "king and his Hand as well.�  Hallyne the Pyromancer was waiting on him when Tyrion"
Frenken (Maester Frenken), Hallyne (Pyromancer), 1277409, "Hallyne the Pyromancer was waiting on him when Tyrion returned to his solar, and Maester Frenken"
Hallyne (Hallyne), Cersei L (Cersei), 1278258, "in Cersei�s lap, or take it to the council.  Only then did he admit Hallyne"
Tyrion L (Tyrion), Hallyne (Hallyne), 1278338, "he admit Hallyne with the latest tallies from the alchemists. �This cannot be true,� said Tyrion"
Jacelyn B (Ser Jacelyn), Hallyne (Hallyne), 1281432, "seeing him as well.�  Hallyne fled so quickly that he almost bowled over Ser Jacelyn"
Sansa S (Sansa), Hallyne (Hallyne), 1627022, "the king�s thanks as well, and Hallyne was raised to the style of lord, though Sansa"
