Hoster T Encounters:
Robb S (Robb), Hoster T (Lord Hoster), 190563, "with it no man could say. Lord Hoster�s smith had done his work well, and Robb"
Hoster T (Lord Hoster), Catelyn S (Catelyn), 209616, "until Catelyn raised her head. �You spoke of tidings that Robb needed to hear?� Lord Hoster"
Hoster T (Lord Hoster), Robb S (Robb), 209616, "until Catelyn raised her head. �You spoke of tidings that Robb needed to hear?� Lord Hoster"
Brynden T (Brynden), Hoster T (Lord Hoster), 209685, "Lord Hoster moaned and rolled onto his side, almost as if he had heard.  Brynden"
Hoster T (Lord Hoster), Tyrion L (Tyrion), 492902, "he lived, the more Tyrion realized that nothing was simple and little was true. �Lord Hoster"
Petyr B (Littlefinger), Hoster T (Lord Hoster), 496423, "to be brusquely expelled when he dared raise his sights to Lord Hoster�s daughter.  Littlefinger"
Tyrion L (Tyrion), Hoster T (Lord Hoster), 496481, "Hoster�s daughter.  Littlefinger took a moment to adjust the drape of his cape, but Tyrion"
Hoster T (Lord Hoster), Minisa T (Minisa Tully), 889135, "own mother she saw. Lady Minisa Tully had died in childbed, trying to give Lord Hoster"
Hoster T (Lord Hoster), Catelyn S (Catelyn), 994275, "scarce liked the sound of that. �Is it my father?�  �No, my lady. Lord Hoster"
Catelyn S (Catelyn), Hoster T (Lord Hoster), 1005885, "with Lord Hoster, men who had spent their lives in her father�s service. Old men, Catelyn"
Hoster T (Lord Hoster), Vyman (Vyman), 1018783, "��  And then Maester Vyman was there, holding a cup to his lips. Lord Hoster"
Hoster T (Hoster), Catelyn S (Catelyn), 1019131, "mouth. Maester Vyman wiped it away with a sleeve.  Catelyn could watch no more. Hoster"
Hoster T (Hoster), Vyman (Vyman), 1019131, "mouth. Maester Vyman wiped it away with a sleeve.  Catelyn could watch no more. Hoster"
Edmure T (Edmure), Hoster T (Lord Hoster), 1159668, "in infancy, so she had been son as well as daughter to Lord Hoster until Edmure"
Bran S (Brandon), Hoster T (Lord Hoster), 1159846, "Riverrun now, and she had done that too. And when Lord Hoster promised her to Brandon"
Hoster T (Lord Hoster), Desmond G (Desmond), 1169688, "already too far off to hear.  Ser Desmond slapped his belly. �Would that Lord Hoster"
Hoster T (Lord Hoster), Catelyn S (Catelyn), 1402833, "midnight.� Her footsteps rang hollowly when Catelyn left the hall. As she climbed to Lord Hoster"
Hoster T (Lord Hoster), Vyman (Vyman), 1403639, "a time.�  �As you will, my lady.� Vyman bowed and left her.  Lord Hoster"
Edmure T (Edmure), Hoster T (Lord Hoster), 1452549, "sang for her mother and her father, for her grandfather Lord Hoster and her uncle Edmure"
Jeyne P (Jeyne), Hoster T (Lord Hoster), 1452577, "her father, for her grandfather Lord Hoster and her uncle Edmure Tully, for her friend Jeyne"
Robert B (King Robert), Hoster T (Lord Hoster), 1452612, "Hoster and her uncle Edmure Tully, for her friend Jeyne Poole, for old drunken King Robert"
