Janos S Encounters:
Janos S (Lord Janos), Morros S (Morros), 79442, "black and white swans fought on his shield. �Morros of House Slynt, heir to Lord Janos"
Joffrey B (Joff), Janos S (Lord Janos), 79492, "of House Slynt, heir to Lord Janos of Harrenhal.�  �Look at that upjumped oaf,� Joff"
Janos S (Lord Janos), Sansa S (Sansa), 79717, "lance and shield. The lance was a knight�s weapon, Sansa knew, the Slynts lowborn. Lord Janos"
Joffrey B (Joffrey), Janos S (Lord Janos), 79782, "Slynts lowborn. Lord Janos had been no more than commander of the City Watch before Joffrey"
Janos S (Janos), Balon S (Ser Balon), 79976, "I hope Ser Balon kills him. When Joffrey proclaimed her father�s death, it had been Janos"
Janos S (Janos), Joffrey B (Joffrey), 79976, "I hope Ser Balon kills him. When Joffrey proclaimed her father�s death, it had been Janos"
Eddard S (Lord Eddard), Janos S (Janos Slynt), 80005, "him. When Joffrey proclaimed her father�s death, it had been Janos Slynt who seized Lord Eddard"
Cersei L (Cersei), Janos S (Lord Janos), 98016, "sky, rioting in the city streets ��  �And whose fault is that, Lord Janos?� Cersei"
Tyrion L (Tyrion), Janos S (Lord Janos), 98096, "Janos?� Cersei lashed out. �Your gold cloaks are charged with keeping order. As to you, Tyrion"
Pycelle (Grand Maester), Janos S (Janos Slynt), 100054, "The woes of our troubled realm shall keep.�  Janos Slynt rose hesitantly and Grand Maester"
Petyr B (Littlefinger), Janos S (Janos Slynt), 100103, "shall keep.�  Janos Slynt rose hesitantly and Grand Maester Pycelle ponderously, yet they rose. Littlefinger"
Petyr B (Littlefinger), Janos S (Janos Slynt), 101379, "the Hand, I pray I�m small enough to escape its notice.�  Janos Slynt laughed, Littlefinger"
Pycelle (Grand Maester), Janos S (Janos Slynt), 101405, "I�m small enough to escape its notice.�  Janos Slynt laughed, Littlefinger smiled, and Grand Maester"
Janos S (Janos), Eddard S (Lord Eddard), 104961, "to do? He called for Lord Eddard�s head in front of half the city. And Janos"
Ilyn P (Ser Ilyn), Janos S (Janos Slynt), 104980, "for Lord Eddard�s head in front of half the city. And Janos Slynt and Ser Ilyn"
Janos S (Lord Slynt), Tyrion L (Tyrion), 105245, "our intent.�  �It would seem he has a point,� said Tyrion. �So this Lord Slynt"
Janos S (Lord Slynt), Barristan S (Barristan), 108535, "Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt"
Janos S (Lord Slynt), Eddard S (Lord Eddard), 108535, "Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt"
Janos S (Lord Slynt), Joffrey B (Joffrey), 108535, "Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt"
Janos S (Lord Slynt), Petyr B (Littlefinger), 108535, "Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt"
Janos S (Lord Slynt), Varys (Varys), 108535, "Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt"
Jon S (Jon), Janos S (Lord Slynt), 108553, "Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt. Who murdered Jon"
Jon A (Jon Arryn), Janos S (Lord Slynt), 108559, "killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt. Who murdered Jon Arryn"
