Melisandre Encounters:
Cressen (Cressen), Melisandre (Melisandre), 35983, "knights of his.�  �Melisandre has gazed into the flames, and seen him dead.�  Cressen"
Melisandre (Melisandre), Cressen (Cressen), 37559, "afraid to speak her name. �I will speak her name,� Cressen told his stone hellhound. �Melisandre"
Melisandre (Melisandre), Stannis B (Lord Stannis), 40063, "night Lord Stannis would feast his bannermen, his lady wife � and the red woman, Melisandre"
Cressen (Maester Cressen), Melisandre (Melisandre), 40104, "lady wife � and the red woman, Melisandre of Asshai.  I must rest, Maester Cressen"
Patchface (Patchface), Melisandre (Melisandre), 46029, "riddle,� Melisandre said. �A clever fool and a foolish wise man.� Bending, she picked up Patchface"
Melisandre (Melisandre), Stannis B (Lord Stannis), 48741, "me, Your Grace.�  �As you will.� Lord Stannis turned away to say something to Melisandre"
Melisandre (Melisandre), Cressen (Cressen), 50675, "enemies.�  I have lost him, Cressen thought, despairing. If only he could somehow approach Melisandre"
Melisandre (Melisandre), Stannis B (Stannis), 261903, "What else could it be? He drank a cup of death to free Stannis from Melisandre"
Stannis B (Stannis), Melisandre (Melisandre), 262562, "jeweled. �Their beauty will make them more pleasing to R�hllor,� Melisandre said when she told Stannis"
Melisandre (Melisandre), Davos S (Davos), 265225, "to come, thought Davos. Many and more would burn before this war was done.  Melisandre"
Selyse F (Selyse), Melisandre (Melisandre), 267613, "upon us!� Melisandre called out.  �For the night is dark and full of terrors,� Selyse"
Melisandre (Melisandre), Selyse F (Selyse), 269136, "patronage of Lady�no, Queen, remember?�Selyse.  The fire had started to dwindle by the time Melisandre"
Davos S (Davos), Melisandre (Melisandre), 269192, "started to dwindle by the time Melisandre and the squires departed with the precious sword. Davos"
Melisandre (Lady Melisandre), Renly B (Renly), 283348, "this man, for all his courtesy. House Florent had declared for Renly.  �The Lady Melisandre"
Davos S (Davos), Melisandre (Lady Melisandre), 1079607, "Melisandre can soothe him to sleep.�  Is that why she shares his pavilion now? Davos"
Melisandre (Melisandre), Davos S (Davos), 1081358, "met, Ser Davos. I fear I do not know the lady.�  �I am named Melisandre"
Cortnay P (Ser Cortnay), Melisandre (Melisandre), 1082726, " Melisandre spoke instead. �May the Lord of Light protect you in your darkness, Ser Cortnay"
Melisandre (Melisandre), Davos S (Davos), 1087741, "with victory.�  God, old man, thought Davos. You forget, we have only one now, Melisandre"
Jon S (Jon), Melisandre (Melisandre), 1087767, "thought Davos. You forget, we have only one now, Melisandre�s Lord of Light.  Ser Jon"
Melisandre (Melisandre), Davos S (Davos), 1088309, "on Davos. �Ser. Ride with me.� He spurred his horse away from his followers. Only Melisandre"
Melisandre (Melisandre), Stannis B (Stannis), 1091023, " And Stannis laughed. A sudden gust, rough and full of scorn. �I told you, Melisandre"
Davos S (Onion), Melisandre (Melisandre), 1091061, "and full of scorn. �I told you, Melisandre,� he said to the red woman, �my Onion"
Melisandre (Melisandre), Davos S (Davos), 1096459, "hence for a council of war. They bowed their heads and dispersed, while Davos and Melisandre"
Devan (Devan), Melisandre (Melisandre), 1097060, "guards relieved Melisandre of her cumbersome standard, driving the staff deep into the soft ground. Devan"
Melisandre (Melisandre), Cortnay P (Ser Cortnay), 1101721, "not require your understanding. Only your service. Ser Cortnay will be dead within the day. Melisandre"
Melisandre (Melisandre), Joffrey B (Joffrey), 1102115, "Lord Velaryon and your friend Salladhor Saan would have had me sail against Joffrey, but Melisandre"
Melisandre (Melisandre), Salladhor S (Salladhor Saan), 1102115, "Lord Velaryon and your friend Salladhor Saan would have had me sail against Joffrey, but Melisandre"
Melisandre (Melisandre), Velaryon (Velaryon), 1102115, "Lord Velaryon and your friend Salladhor Saan would have had me sail against Joffrey, but Melisandre"
Renly B (Renly), Melisandre (Melisandre), 1102660, "me he did. Melisandre saw another day in her flames as well. A morrow where Renly"
Davos S (Davos), Melisandre (Melisandre), 1103449, "many. Melisandre sees them all.�  �You do not love the woman. I know that, Davos"
Melisandre (Melisandre), Davos S (Davos), 1104873, "bastard boy and he may well yield.�  �I must have the boy, Davos. Must. Melisandre"
Davos S (Davos), Melisandre (Melisandre), 1104918, "have the boy, Davos. Must. Melisandre has seen that in the flames as well.�  Davos"
Melisandre (Melisandre), Davos S (Davos), 1106580, "from watchers on the castle walls. Even so, Davos was taut as a bowstring.  Melisandre"
Melisandre (Melisandre), Davos S (Davos), 1108937, "they swung back toward the shore. �You speak of men and onions,� Davos said to Melisandre"
Melisandre (Melisandre), Davos S (Davos), 1109515, "burned like pale red candle flames. �Not I.�  �Liar.� Davos was certain now.  Melisandre"
Davos S (Davos), Melisandre (Melisandre), 1109581, "was certain now.  Melisandre laughed again. �You are lost in darkness and confusion, Ser Davos"
Melisandre (Melisandre), Davos S (Davos), 1113178, "Davos raised a hand to shield his eyes, and his breath caught in his throat. Melisandre"
