Nan Encounters:
Bran S (Bran), Nan (Old Nan), 88942, "there were others, monstrous savages out of one of Old Nan�s tales, the scary ones Bran"
Nan (Nan), Bran S (Bran), 128165, "she could smell it. �It be dragons, boy,� she insisted. Bran got no princes from Nan"
Hodor (Hodor), Nan (Nan), 128199, "she insisted. Bran got no princes from Nan, no more than he ever had.  Hodor"
Bran S (Bran), Nan (Old Nan), 186774, "He Was a Dragon� was one of Old Nan�s more gruesome tales. His little brother Bran"
Nan (Old Nan), Catelyn S (Catelyn), 215431, "Aegon the Conqueror had come ashore at King�s Landing.  Catelyn could remember hearing Old Nan"
Harren (Harren), Nan (Old Nan), 215504, "hearing Old Nan tell the story to her own children, back at Winterfell. �And King Harren"
Nan (Old Nan), Arya S (Arya), 384176, "the stick down in the mud. �Mount up.�  Arya was remembering the stories Old Nan"
Harren (Harren), Nan (Old Nan), 384220, " Arya was remembering the stories Old Nan used to tell of Harrenhal. Evil King Harren"
Nan (Old Nan), Arya S (Arya), 549764, "too, before the tallest man Arya had ever seen, a monster from one of Old Nan"
Nan (Old Nan), Bran S (Bran), 585400, "and made it possible for Bran to ride. He sent sweets to Hodor and Old Nan"
Nan (Old Nan), Hodor (Hodor), 585400, "and made it possible for Bran to ride. He sent sweets to Hodor and Old Nan"
Rodrik C (Ser Rodrik), Nan (Old Nan), 585453, "to Hodor and Old Nan as well, for no reason but he loved them. Ser Rodrik"
Nan (Old Nan), Bran S (Bran), 586343, "mind. Bran watched Farlen make his red bitch beg for bones and smiled at Old Nan"
Nan (Old Nan), Farlen (Farlen), 586343, "mind. Bran watched Farlen make his red bitch beg for bones and smiled at Old Nan"
Nan (Old Nan), Jon S (Jon), 649063, "and one of his ears was missing. So this is a wildling. Jon remembered Old Nan"
Craster (Craster), Nan (Old Nan), 649133, "Jon remembered Old Nan�s tales of the savage folk who drank blood from human skulls. Craster"
Nan (Old Nan), Jon S (Jon), 678900, "Kingdoms.�  �Wildlings have invaded the realm before.� Jon had heard the tales from Old Nan"
Luwin (Maester Luwin), Nan (Old Nan), 678918, "have invaded the realm before.� Jon had heard the tales from Old Nan and Maester Luwin"
Nan (Old Nan), Arya S (Arya), 753702, "Harrenhal, the captives told each other, but Arya was not so certain. She remembered Old Nan"
Harren (Harren), Nan (Old Nan), 753748, "was not so certain. She remembered Old Nan�s stories of the castle built on fear. Harren"
Nan (Nan), Harren (Harren the Black), 753799, "the castle built on fear. Harren the Black had mixed human blood in the mortar, Nan"
Nan (Old Nan), Bran S (Bran), 780772, "the Reeds had stayed to become Bran�s constant companions. Jojen was so solemn that Old Nan"
Nan (Old Nan), Jojen R (Jojen), 780772, "the Reeds had stayed to become Bran�s constant companions. Jojen was so solemn that Old Nan"
Meera R (Meera), Nan (Old Nan), 780815, "Bran�s constant companions. Jojen was so solemn that Old Nan called him �little grandfather,� but Meera"
Bran S (Bran), Nan (Old Nan), 780829, "companions. Jojen was so solemn that Old Nan called him �little grandfather,� but Meera reminded Bran"
Arya S (Arya), Nan (Old Nan), 780848, "solemn that Old Nan called him �little grandfather,� but Meera reminded Bran of his sister Arya"
Nan (Old Nan), Arya S (Arya), 821074, "steps, everything was built to an inhuman scale that made Arya remember the stories Old Nan"
Renly B (Renly), Nan (Old Nan), 904982, "ghosts, she had heard Old Nan call them once, spirits returning to their graves. And Renly"
Nan (Old Nan), Dagmer C (Cleftjaw), 1189386, "wolfswood. Torrhen�s Square was under attack by some monstrous war chief named Dagmer Cleftjaw. Old Nan"
Nan (Old Nan), Jaqen (Jaqen), 1215736, "some hell, not men at all.  Jaqen still owed her one death. In Old Nan"
Roose B (Roose), Nan (Nan), 1239948, "and the direwolf of Stark. And that evening, a page named Nan poured wine for Roose"
Vargo H (Vargo), Nan (Nan), 1239965, "of Stark. And that evening, a page named Nan poured wine for Roose Bolton and Vargo"
Nan (Nan), Rickon (Rickon), 1295372, "a cripple. And Rickon, young as he is, how long will he last out there? Nan"
Nan (Old Nan), Jon S (Jon), 1372344, "Does he mean the eagle? Jon wondered. Or me? Skinchangers and wargs belonged in Old Nan"
Farlen (Farlen), Nan (Old Nan), 1434357, "the castle. Old Nan stood with her soft toothless mouth opening and closing soundlessly, and Farlen"
Elmar F (Elmar), Nan (Nan), 1587200, "pail. �Nan,� a voice called out. �Put down that pail and come help me.�  Elmar"
Nan (Nan), Arya S (Arya), 1593238, "only Qyburn, Steelshanks Walton, and Arya. Lord Bolton beckoned her closer. �I am bled sufficiently. Nan"
Nan (Nan), Roose B (Lord Bolton), 1593238, "only Qyburn, Steelshanks Walton, and Arya. Lord Bolton beckoned her closer. �I am bled sufficiently. Nan"
Nan (Nan), Arya S (Arya), 1597338, "Winterfell is truly gone, is this my home now? Am I still Arya, or only Nan"
Nan (Nan), Arya S (Arya), 1601104, "us, winter is coming. Have it done.� When he saw Arya looking on, he said, �Nan"
Nan (Nan), Jon S (Jon), 1605831, "Lannisters had Sansa, Jon had gone to the Wall. �I�m not even me now, I�m Nan"
Nan (Nan), Sansa S (Sansa), 1605831, "Lannisters had Sansa, Jon had gone to the Wall. �I�m not even me now, I�m Nan"
Arya S (Arya), Nan (Nan), 1605848, "had gone to the Wall. �I�m not even me now, I�m Nan.�  �You are Arya"
