Patchface Encounters:
Steffon B (Steffon), Patchface (Patchface), 11023, "him forever, but now �  Patchface had come to them as a boy. Lord Steffon"
Patchface (Patchface), Stannis B (Stannis), 11823, "letter. No one had ever taught Stannis how to laugh, least of all the boy Patchface"
Steffon B (Steffon), Patchface (Patchface), 12981, "return for his seed. Patchface himself had said nothing. The witty, clever lad that Lord Steffon"
Patchface (Patchface), Cressen (Cressen), 13754, "wit for it.� But Cressen had refused, and in the end he had won. Whether Patchface"
Patchface (Patchface), Shireen (Shireen), 15154, "to me they add a few every night, just to vex me.�  Shireen and Patchface"
Cressen (Cressen), Patchface (Patchface), 43714, "heard his approach. As he hopped from one leg to the other, Patchface lurched into Cressen"
Patchface (Patchface), Melisandre (Melisandre), 46029, "riddle,� Melisandre said. �A clever fool and a foolish wise man.� Bending, she picked up Patchface"
Cressen (Cressen), Patchface (Patchface), 46083, "Bending, she picked up Patchface�s helm from where it had fallen and set it on Cressen"
Patchface (Patchface), Cressen (Cressen), 46819, "King Stannis and his queen were seated. Cressen handed the antlered tin bucket back to Patchface"
Patchface (Patchface), Stannis B (King Stannis), 46819, "King Stannis and his queen were seated. Cressen handed the antlered tin bucket back to Patchface"
Pylos (Maester Pylos), Patchface (Patchface), 46855, "Cressen handed the antlered tin bucket back to Patchface, and made to follow.  Maester Pylos"
Davos S (Davos), Patchface (Patchface), 49206, "Patchface was capering about as the maester made his slow way around the table to Davos"
Cressen (Cressen), Patchface (Patchface), 49745, "we�re all like to see what Patchface saw, I fear�the bottom of the sea.�  Cressen"
Stannis B (Lord Stannis), Patchface (Patchface), 51593, "no one wears hats,� Patchface said. �I know, I know, oh, oh, oh.�  Lord Stannis"
Patchface (Patchface), Petyr B (Littlefinger), 416750, "�You�d have to be a fool to want to bed Selyse Florent,� said Littlefinger. �Doubtless Patchface"
Patchface (Patchface), Selyse F (Selyse Florent), 416750, "�You�d have to be a fool to want to bed Selyse Florent,� said Littlefinger. �Doubtless Patchface"
Stannis B (Stannis), Patchface (Patchface), 416774, "a fool to want to bed Selyse Florent,� said Littlefinger. �Doubtless Patchface reminded her of Stannis"
