Petyr B Encounters:
Petyr B (Littlefinger), Renly B (Renly), 27774, "has Renly ever done to earn a throne? He sits in council and jests with Littlefinger"
Dontos (Dontos), Petyr B (Baelish), 81571, "rages.  �Lothor Brune, freerider in the service of Lord Baelish,� cried the herald. �Ser Dontos"
Tyrion L (Tyrion), Petyr B (Littlefinger), 98793, "favorite things.�  Littlefinger laughed. �Well said, Lannister. A man after my own heart.�  Tyrion"
Petyr B (Littlefinger), Janos S (Janos Slynt), 100103, "shall keep.�  Janos Slynt rose hesitantly and Grand Maester Pycelle ponderously, yet they rose. Littlefinger"
Petyr B (Littlefinger), Pycelle (Pycelle), 100103, "shall keep.�  Janos Slynt rose hesitantly and Grand Maester Pycelle ponderously, yet they rose. Littlefinger"
Jon A (Lord Arryn), Petyr B (Littlefinger), 100525, "why not say four?�  �Four?� Littlefinger raised an eyebrow. �Did the Hands before Lord Arryn"
Petyr B (Littlefinger), Janos S (Janos Slynt), 101379, "the Hand, I pray I�m small enough to escape its notice.�  Janos Slynt laughed, Littlefinger"
Pycelle (Grand Maester), Petyr B (Littlefinger), 101405, "I�m small enough to escape its notice.�  Janos Slynt laughed, Littlefinger smiled, and Grand Maester"
Eddard S (Eddard), Petyr B (Littlefinger), 105436, "name him to the council?�  �Littlefinger made the arrangements. We needed Slynt�s gold cloaks. Eddard"
Renly B (Renly), Petyr B (Littlefinger), 105466, " �Littlefinger made the arrangements. We needed Slynt�s gold cloaks. Eddard Stark was plotting with Renly"
Petyr B (Littlefinger), Barristan S (Barristan), 108509, "secrets between us. You say Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger"
Petyr B (Littlefinger), Eddard S (Lord Eddard), 108509, "secrets between us. You say Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger"
Petyr B (Littlefinger), Joffrey B (Joffrey), 108509, "secrets between us. You say Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger"
Petyr B (Littlefinger), Varys (Varys), 108509, "secrets between us. You say Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger"
Janos S (Lord Slynt), Petyr B (Littlefinger), 108535, "Joffrey had Lord Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt"
Jon S (Jon), Petyr B (Littlefinger), 108553, "Eddard killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt. Who murdered Jon"
Jon A (Jon Arryn), Petyr B (Littlefinger), 108559, "killed, Varys dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt. Who murdered Jon Arryn"
Cersei L (Cersei), Petyr B (Littlefinger), 108569, "dismissed Ser Barristan, and Littlefinger gifted us with Lord Slynt. Who murdered Jon Arryn?�  Cersei"
Petyr B (Littlefinger), Joffrey B (Joffrey), 228187, "king�s friend, you know. We shall hear what Joffrey has to say about this. And Littlefinger"
Janos S (Janos), Petyr B (Littlefinger), 228217, "hear what Joffrey has to say about this. And Littlefinger and the queen, oh, yes. Janos"
Petyr B (Littlefinger), Joffrey B (Joffrey), 240866, "replaced one of Joffrey�s men with one of my own. More likely, I have replaced Littlefinger"
Varys (Varys), Petyr B (Littlefinger), 240900, "one of my own. More likely, I have replaced Littlefinger�s man with one belonging to Varys"
