Preston G Encounters:
Preston G (Preston), Boros B (Boros), 70457, "be him. Ser Boros was short-tempered, Ser Meryn cold, and Ser Mandon�s strange dead eyes made her uneasy, while Ser Preston"
Preston G (Preston), Mandon M (Mandon), 70457, "be him. Ser Boros was short-tempered, Ser Meryn cold, and Ser Mandon�s strange dead eyes made her uneasy, while Ser Preston"
Preston G (Preston), Meryn T (Meryn), 70457, "be him. Ser Boros was short-tempered, Ser Meryn cold, and Ser Mandon�s strange dead eyes made her uneasy, while Ser Preston"
Arys O (Arys), Preston G (Preston), 70496, "Meryn cold, and Ser Mandon�s strange dead eyes made her uneasy, while Ser Preston treated her like a lackwit child. Arys"
Preston G (Preston), Joffrey B (Joffrey), 488102, "reached into the hutch. This one made a brown streak against the stones, while Joffrey�s hurried shot almost took Ser Preston"
Petyr B (Littlefinger), Preston G (Preston), 488130, "one made a brown streak against the stones, while Joffrey�s hurried shot almost took Ser Preston in the groin.  Littlefinger"
Podrick P (Podrick), Preston G (Preston), 488196, "almost took Ser Preston in the groin.  Littlefinger turned away. �Boy, are you fond of potted hare?� he asked Podrick"
Joffrey B (Joffrey), Preston G (Preston), 508442, "Ser Preston near the stables with three others of the Kingsguard, white cloaks bright as the moon as they helped Joffrey"
Preston G (Preston), Bronn (Bronn), 722120, "Ser Jacelyn�s gold cloaks faced them across the hall. The steps to the throne were flanked by Bronn and Ser Preston"
Preston G (Preston), Jacelyn B (Ser Jacelyn), 722120, "Ser Jacelyn�s gold cloaks faced them across the hall. The steps to the throne were flanked by Bronn and Ser Preston"
Sansa S (Sansa), Preston G (Preston), 722242, "by Bronn and Ser Preston of the Kingsguard. Courtiers filled the gallery while supplicants clustered near the towering oak-and-bronze doors. Sansa"
Preston G (Preston), Alliser T (Ser Alliser), 730964, " �You should try to kill them more thoroughly.� Tyrion pushed past. Ser Alliser made to grab his sleeve, but Preston"
Preston G (Preston), Tyrion L (Tyrion), 730964, " �You should try to kill them more thoroughly.� Tyrion pushed past. Ser Alliser made to grab his sleeve, but Preston"
Preston G (Preston), Tyrion L (Tyrion), 957322, "kiss on his brow.  Too astonished for words, Tyrion could only watch her stride off down the hall, Ser Preston"
Bronn (Bronn), Preston G (Preston), 957404, "hall, Ser Preston at her side. �Have I lost my wits, or did my sister just kiss me?� he asked Bronn"
Preston G (Preston), Mandon M (Mandon Moore), 1055846, "right hand and Ser Mandon Moore to the left of the Stark girl.  Next came Tommen, snuffling, with Ser Preston"
Preston G (Preston), Tommen (Tommen), 1055846, "right hand and Ser Mandon Moore to the left of the Stark girl.  Next came Tommen, snuffling, with Ser Preston"
Cersei L (Cersei), Preston G (Preston Greenfield), 1055903, "the Stark girl.  Next came Tommen, snuffling, with Ser Preston Greenfield in his white armor and cloak, and then Cersei"
Lancel L (Lancel), Preston G (Preston Greenfield), 1055930, "Next came Tommen, snuffling, with Ser Preston Greenfield in his white armor and cloak, and then Cersei, accompanied by Ser Lancel"
Meryn T (Meryn), Preston G (Preston Greenfield), 1055953, "with Ser Preston Greenfield in his white armor and cloak, and then Cersei, accompanied by Ser Lancel and protected by Meryn"
Boros B (Boros), Preston G (Preston Greenfield), 1055969, "Greenfield in his white armor and cloak, and then Cersei, accompanied by Ser Lancel and protected by Meryn Trant and Boros"
High S (High Septon), Preston G (Preston Greenfield), 1063467, "over him. Jalabhar Xho said he thought he�d seen Ser Preston Greenfield of the Kingsguard riding back toward the High Septon"
Tyrion L (Tyrion), Preston G (Preston Greenfield), 1063520, "Ser Preston Greenfield of the Kingsguard riding back toward the High Septon�s overturned litter, but he was not certain.  Tyrion"
Preston G (Preston), Lollys S (Lollys), 1064697, "no one and everyone.  �My daughter,� cried Lady Tanda. �Please, someone must go back for Lollys ��  �Ser Preston"
Preston G (Preston), Tanda (Tanda), 1064697, "no one and everyone.  �My daughter,� cried Lady Tanda. �Please, someone must go back for Lollys ��  �Ser Preston"
Boros B (Boros), Preston G (Preston), 1064725, "�My daughter,� cried Lady Tanda. �Please, someone must go back for Lollys ��  �Ser Preston is not returned,� Ser Boros"
Aron S (Aron), Preston G (Preston), 1064752, "Tanda. �Please, someone must go back for Lollys ��  �Ser Preston is not returned,� Ser Boros Blount reported, �nor Aron"
Horas R (Ser Horas), Preston G (Preston), 1064796, "��  �Ser Preston is not returned,� Ser Boros Blount reported, �nor Aron Santagar.�  �Nor Wet Nurse,� said Ser Horas"
Preston G (Preston), Tyrion L (Tyrion), 1071066, "his gods for mercy. Starving men take a hard view of priests too fat to walk, Tyrion reflected.  Ser Preston"
Preston G (Preston), Balon S (Balon Swann), 1273254, "the doors.  He approved of his sister�s choice of Ser Balon Swann to take the place of the slain Preston"
Gulian S (Gulian), Preston G (Preston Greenfield), 1273358, "take the place of the slain Preston Greenfield. The Swanns were Marcher lords, proud, powerful, and cautious. Pleading illness, Lord Gulian"
