Rorge Encounters:
Rorge (Rorge), Syrio F (Syrio), 156061, "think what Syrio would have done. She drew her wooden practice sword.  �Come closer,� Rorge"
Arya S (Arya), Rorge (Rorge), 157565, "hilt of his sword, and Rorge began to laugh. �Let�s get away from them.�  Arya"
Arya S (Lumpyface), Rorge (Rorge), 247582, "blissful look, but Rorge, the noseless one, only laughed and said, �There�s a hunter now. Lumpyface"
Rorge (Rorge), Hot P (Hot Pie), 382257, "them at Hot Pie, shouting, �Mud Pie! Mud Pie!� In the back of their wagon, Rorge"
Yoren (Yoren), Rorge (Rorge), 382320, "back of their wagon, Rorge cursed and threatened and told them to unchain him while Yoren"
Jaqen (Jaqen), Rorge (Rorge), 407984, "where the irons clasped his wrists. Rorge screamed curses, kicking at the wood. �Boy!� called Jaqen"
Rorge (Rorge), Jaqen (Jaqen), 408399, " �Good boys, kind boys,� called Jaqen H�ghar, coughing.  �Get these fucking chains off!� Rorge"
Gendry (Gendry), Rorge (Rorge), 408417, "kind boys,� called Jaqen H�ghar, coughing.  �Get these fucking chains off!� Rorge screamed.  Gendry"
Jaqen (Jaqen), Rorge (Rorge), 841450, "a mouse. She worked her way down the bench, filling wine cups. Rorge sat to Jaqen"
Arya S (Arya), Rorge (Rorge), 841504, "cups. Rorge sat to Jaqen�s right, deep drunk, but he took no note of her. Arya"
Amory L (Ser Amory), Rorge (Rorge), 984089, "laughter. Rorge came around a corner with three other men, the manticore badge of Ser Amory"
Rorge (Rorge), Jaqen (Jaqen), 984960, "tight little ass better?�  �I�m looking for Jaqen,� she said. �There�s a message.�  Rorge"
Jaqen (Jaqen), Rorge (Rorge), 985032, "Rorge halted. Something in his eyes � could it be that he was scared of Jaqen"
Rorge (Rorge), Jaqen (Jaqen), 1215480, "turned the animal against him. Yoren found Jaqen in a black cell, the same as Rorge"
Rorge (Rorge), Yoren (Yoren), 1215480, "turned the animal against him. Yoren found Jaqen in a black cell, the same as Rorge"
Jaqen (Jaqen), Rorge (Rorge), 1215513, "Yoren found Jaqen in a black cell, the same as Rorge and Biter, she remembered. Jaqen"
Yoren (Yoren), Rorge (Rorge), 1215546, "black cell, the same as Rorge and Biter, she remembered. Jaqen did something horrible and Yoren"
Rorge (Rorge), Weese (Weese), 1219959, "Had the gods sent him? �How�d you make the dog kill Weese? Did you call Rorge"
Jaqen (Jaqen), Rorge (Rorge), 1219992, "make the dog kill Weese? Did you call Rorge and Biter up from hell? Is Jaqen"
Arya S (Arya), Rorge (Rorge), 1226720, "heard the ugly sound of Rorge�s voice. �Cook,� he shouted. �We�ll take your bloody broth.� Arya"
Rorge (Rorge), Arya S (Arya), 1226789, "Arya let go of the spoon in dismay. I never told him to bring them. Rorge"
Jaqen (Jaqen), Rorge (Rorge), 1226864, "them. Rorge wore his iron helmet, with the nasal that half hid his missing nose. Jaqen"
Rorge (Rorge), Arya S (Arya), 1227671, "was boiling hot, and the kettles were heavy. Arya and Jaqen wrestled one between them, Rorge"
Rorge (Rorge), Jaqen (Jaqen), 1227671, "was boiling hot, and the kettles were heavy. Arya and Jaqen wrestled one between them, Rorge"
Jaqen (Jaqen), Rorge (Rorge), 1228009, "�What�s this?� one said to Rorge.  �A pot of boiling piss, want some?�  Jaqen"
Jaqen (Jaqen), Rorge (Rorge), 1228278, "the door a winding stair led down to the dungeons. Rorge led the way, with Jaqen"
Arya S (Arya), Rorge (Rorge), 1228287, "a winding stair led down to the dungeons. Rorge led the way, with Jaqen and Arya"
Jaqen (Jaqen), Rorge (Rorge), 1229325, "you don�t.� Rorge heaved the scalding hot broth across the table, full in their faces. Jaqen"
Rorge (Rorge), Arya S (Arya), 1229663, "agony, praying, or trying to crawl off.  Arya pressed back against the wall as Rorge"
Rorge (Rorge), Vargo H (Lord Hoat), 1230887, "man Glover was saying. �I did not expect that. Was it Lord Hoat�s idea?�  Rorge"
Rorge (Rorge), Roose B (Lord Bolton), 1231274, "Hoat when he came to Lord Bolton�s encampment. Are you of the Brave Companions?�  Rorge"
Arya S (Arya), Rorge (Rorge), 1231545, "Rorge and Biter. A lord will know which is Biter.� He waved a hand toward Arya"
Jaqen (Jaqen), Rorge (Rorge), 1232245, "was fighting around the gatehouse as well. Rorge and Biter rushed off with Glover, but Jaqen"
Arya S (Arya), Rorge (Rorge), 1232270, "gatehouse as well. Rorge and Biter rushed off with Glover, but Jaqen H�ghar knelt beside Arya"
Rorge (Rorge), Aenys F (Aenys), 1237666, "came up to join them. After some brief talk, Ser Aenys led them over to Rorge"
Arya S (Arya), Rorge (Rorge), 1237682, "join them. After some brief talk, Ser Aenys led them over to Rorge and Biter. Arya"
Rorge (Rorge), Arya S (Arya), 1237819, "would have expected them to vanish when Jaqen did. Arya heard the harsh sound of Rorge"
Rorge (Rorge), Jaqen (Jaqen), 1237819, "would have expected them to vanish when Jaqen did. Arya heard the harsh sound of Rorge"
Rorge (Rorge), Amory L (Ser Amory), 1240163, "ward. Ser Amory pleaded and sobbed and clung to the legs of his captors, until Rorge"
Vargo H (Lord Vargo), Rorge (Rorge), 1585392, "gave the others to his most trusted captains. She had heard Rorge laughing over Lord Vargo"
Roose B (Lord Bolton), Rorge (Rorge), 1585957, "the fool tittered.  Rorge and Biter were as bad as the others. Whenever Lord Bolton"
Rorge (Rorge), Arya S (Arya), 1586286, "with fingers and teeth. He would sniff at Arya when she passed, but it was Rorge"
