Vargo H Encounters:
Amory L (Ser Amory), Vargo H (Vargo Hoat), 824493, "bad. The goat-helm�s their captain, Lord Vargo Hoat.�  �He�s no fucking lord,� said the second soldier. �I heard Ser Amory"
Vargo H (Vargo), Arya S (Arya), 824696, "said Weese, �but she better call him lord if she wants to keep all her parts.�  Arya looked at Vargo"
Vargo H (Vargo), Weese (Weese), 824696, "said Weese, �but she better call him lord if she wants to keep all her parts.�  Arya looked at Vargo"
Tywin L (Tywin), Vargo H (Vargo Hoat), 824742, "if she wants to keep all her parts.�  Arya looked at Vargo Hoat again. How many monsters does Lord Tywin"
Arya S (Arya), Vargo H (Vargo Hoat), 824812, "Hoat again. How many monsters does Lord Tywin have?  The Brave Companions were housed in the Widow�s Tower, so Arya"
Vargo H (Vargo), Beric D (Beric Dondarrion), 825303, "archer had started all the trouble by taunting the sellswords over Beric Dondarrion. After the hanged men had stopped kicking, Vargo"
Harys S (Harys), Vargo H (Vargo Hoat), 825322, "the trouble by taunting the sellswords over Beric Dondarrion. After the hanged men had stopped kicking, Vargo Hoat and Ser Harys"
Tywin L (Tywin), Vargo H (Vargo Hoat), 825392, "had stopped kicking, Vargo Hoat and Ser Harys embraced and kissed and swore to love each other always as Lord Tywin"
Arya S (Arya), Vargo H (Vargo Hoat), 825408, "Vargo Hoat and Ser Harys embraced and kissed and swore to love each other always as Lord Tywin looked on. Arya"
Vargo H (Vargo), Arya S (Arya), 825443, "kissed and swore to love each other always as Lord Tywin looked on. Arya thought it was funny the way Vargo"
Vargo H (Vargo), Tywin L (Tywin), 825443, "kissed and swore to love each other always as Lord Tywin looked on. Arya thought it was funny the way Vargo"
Vargo H (Vargo), Gregor C (Gregor Clegane), 829393, "would ever expect that. No, he must defend King�s Landing, Stannis was the greatest threat. He�d sent Gregor Clegane and Vargo"
Vargo H (Vargo), Stannis B (Stannis), 829393, "would ever expect that. No, he must defend King�s Landing, Stannis was the greatest threat. He�d sent Gregor Clegane and Vargo"
Roose B (Roose), Vargo H (Vargo Hoat), 829415, "No, he must defend King�s Landing, Stannis was the greatest threat. He�d sent Gregor Clegane and Vargo Hoat to destroy Roose"
Weese (Weese), Vargo H (Vargo Hoat), 976858, "for the Crippler. Vargo Hoat his name is, and when he gets back he�ll cut off your feet.� Maybe if Weese"
Arya S (Arya), Vargo H (Vargo Hoat), 976874, "Vargo Hoat his name is, and when he gets back he�ll cut off your feet.� Maybe if Weese were dead, Arya"
Gregor C (Mountain), Vargo H (Vargo Hoat), 978608, "the foraging. That goat Vargo Hoat is like to spit, him and Lorch have always hated each other.�  The Mountain"
Tywin L (Tywin), Vargo H (Vargo Hoat), 978641, "is like to spit, him and Lorch have always hated each other.�  The Mountain would be leaving with Lord Tywin"
Vargo H (Vargo), Amory L (Amory Lorch), 1207618, "ale. The noise brought Ser Amory Lorch out onto the covered gallery above the ward, flanked by two torchbearers. Goat-helmed Vargo"
Vargo H (Vargo), Arya S (Arya), 1208197, "with his little pig eyes. Arya did not think he was pleased. Everyone in the castle knew that he and Vargo"
Amory L (Ser Amory), Vargo H (Vargo Hoat), 1208470, "his eyes. �We were promised honorable treatment�� he began.  �Silenth!� Vargo Hoat screamed at him, spraying spittle.  Ser Amory"
Tywin L (Tywin), Vargo H (Vargo Hoat), 1208547, "screamed at him, spraying spittle.  Ser Amory addressed the captives. �What Hoat promised you is nothing to me. Lord Tywin"
Gendry (Gendry), Vargo H (Vargo Hoat), 1212771, "village, did you? You try this and Vargo Hoat will cut off your hands and feet, the way he does.� Gendry"
Hot P (Hot Pie), Vargo H (Vargo Hoat), 1224869, "They�d woken the cooks to feed Vargo Hoat and his Bloody Mummers. Serving men were carrying off baskets of Hot Pie"
Vargo H (Vargo), Arya S (Arya), 1226069, "cheese wrapped in cloth. �Here, help me with these,� she told Arya.  �I can�t. But you better hurry or Vargo"
Robb S (Robb), Vargo H (Vargo Hoat), 1226275, "wondered why none of the captives had their hands or feet chopped off. Maybe Vargo Hoat was afraid to make Robb"
Hot P (Hot Pie), Vargo H (Vargo Hoat), 1226346, "Hoat was afraid to make Robb angry. Though he didn�t seem the sort to be afraid of anyone.  Hot Pie"
Vargo H (Vargo), Arya S (Arya), 1237388, "knees for the Lord of the Dreadfort!� shouted his squire, a boy no older than Arya, and Harrenhal knelt.  Vargo"
Vargo H (Vargo), Roose B (Lord of the Dreadfort), 1237388, "knees for the Lord of the Dreadfort!� shouted his squire, a boy no older than Arya, and Harrenhal knelt.  Vargo"
Arya S (Arya), Vargo H (Vargo Hoat), 1237487, "knelt.  Vargo Hoat came forward. �My lord, Harrenhal ith yourth.�  The lord gave answer, but too softly for Arya"
Robett G (Robett), Vargo H (Vargo Hoat), 1237503, "Hoat came forward. �My lord, Harrenhal ith yourth.�  The lord gave answer, but too softly for Arya to hear. Robett"
Vargo H (Vargo), Nan (Nan), 1239965, "the Dreadfort and the direwolf of Stark. And that evening, a page named Nan poured wine for Roose Bolton and Vargo"
Vargo H (Vargo), Roose B (Roose Bolton), 1239965, "the Dreadfort and the direwolf of Stark. And that evening, a page named Nan poured wine for Roose Bolton and Vargo"
Amory L (Ser Amory), Vargo H (Vargo Hoat), 1240047, "poured wine for Roose Bolton and Vargo Hoat as they stood on the gallery, watching the Brave Companions parade Ser Amory"
Vargo H (Vargo), Roose B (Roose Bolton), 1585185, "Companions did most of the foraging for Harrenhal, and Roose Bolton had given them the task of rooting out Lannisters. Vargo"
Vargo H (Lord Vargo), Rorge (Rorge), 1585392, "the largest group himself, and gave the others to his most trusted captains. She had heard Rorge laughing over Lord Vargo"
Tywin L (Tywin), Vargo H (Lord Vargo), 1585490, "over Lord Vargo�s way of finding traitors. All he did was return to places he had visited before under Lord Tywin"
Vargo H (Vargo), Gendry (Gendry), 1608271, "so.�  Gendry pushed black hair out of his eyes. �So?�  She looked right at him, fearless. �So when Vargo"
