Source,Target,Weight,Type
"Addam-Marbrand","Gyles",3.0,undirected
"Addam-Marbrand","Jaime-Lannister",3.0,undirected
"Addam-Marbrand","Joffrey-Baratheon",3.0,undirected
"Addam-Marbrand","Kevan-Lannister",3.0,undirected
"Addam-Marbrand","Oberyn-Martell",3.0,undirected
"Addam-Marbrand","Tyrion-Lannister",7.0,undirected
"Addam-Marbrand","Varys",4.0,undirected
"Aegon-I","Torrhen-Stark",3.0,undirected
"Aemon-Targaryen","Alliser-Thorne",3.0,undirected
"Aemon-Targaryen","Clydas",13.0,undirected
"Aemon-Targaryen","Denys-Mallister",4.0,undirected
"Aemon-Targaryen","Donal-Noye",8.0,undirected
"Aemon-Targaryen","Grenn",5.0,undirected
"Aemon-Targaryen","Hobb",3.0,undirected
"Aemon-Targaryen","Janos-Slynt",4.0,undirected
"Aemon-Targaryen","Jeor-Mormont",3.0,undirected
"Aemon-Targaryen","Jon-Snow",28.0,undirected
"Aemon-Targaryen","Mance-Rayder",5.0,undirected
"Aemon-Targaryen","Owen",3.0,undirected
"Aemon-Targaryen","Pyp",5.0,undirected
"Aemon-Targaryen","Robert-Baratheon",5.0,undirected
"Aemon-Targaryen","Samwell-Tarly",29.0,undirected
"Aemon-Targaryen","Stannis-Baratheon",8.0,undirected
"Aerys-Targaryen","Arthur-Dayne",5.0,undirected
"Aerys-Targaryen","Brienne",3.0,undirected
"Aerys-Targaryen","Jaime-Lannister",22.0,undirected
"Aerys-Targaryen","Joffrey-Baratheon",6.0,undirected
"Aerys-Targaryen","Robert-Baratheon",9.0,undirected
"Aerys-Targaryen","Rossart",4.0,undirected
"Aerys-Targaryen","Tyrion-Lannister",6.0,undirected
"Aerys-Targaryen","Tywin-Lannister",10.0,undirected
"Aerys-Targaryen","Viserys",3.0,undirected
"Aggo","Jhogo",4.0,undirected
"Aggo","Rakharo",3.0,undirected
"Alayne-Stone","Lysa-Arryn",6.0,undirected
"Alayne-Stone","Marillion",3.0,undirected
"Alayne-Stone","Petyr-Baelish",7.0,undirected
"Alayne-Stone","Sansa-Stark",10.0,undirected
"Alerie","Mace-Tyrell",3.0,undirected
"Alerie","Margaery-Tyrell",3.0,undirected
"Alester-Florent","Axell-Florent",4.0,undirected
"Alester-Florent","Davos-Seaworth",11.0,undirected
"Alester-Florent","Selyse",4.0,undirected
"Alester-Florent","Stannis-Baratheon",4.0,undirected
"Alliser-Thorne","Janos-Slynt",13.0,undirected
"Alliser-Thorne","Jon-Snow",22.0,undirected
"Alliser-Thorne","Mance-Rayder",6.0,undirected
"Alliser-Thorne","Qhorin-Halfhand",4.0,undirected
"Alliser-Thorne","Samwell-Tarly",4.0,undirected
"Alliser-Thorne","Stannis-Baratheon",3.0,undirected
"Amory-Lorch","Gregor-Clegane",3.0,undirected
"Amory-Lorch","Jaime-Lannister",3.0,undirected
"Amory-Lorch","Oberyn-Martell",6.0,undirected
"Amory-Lorch","Tywin-Lannister",4.0,undirected
"Amory-Lorch","Vargo-Hoat",3.0,undirected
