Source,Target,Weight,Type
"Jon","Tyrion",40.0,undirected
"Jon","Stannis",46.0,undirected
"Jon","Brandon",5.0,undirected
"Jon","Arya",11.0,undirected
"Jon","Mance",23.0,undirected
"Jon","Melisandre",35.0,undirected
"Jon","Bowen",34.0,undirected
"Jon","Haldon",18.0,undirected
"Jon","Edd",23.0,undirected
"Jon","Robert",7.0,undirected
"Jon","Eddard",7.0,undirected
"Jon","Aegon",7.0,undirected
"Jon","Rolly",19.0,undirected
"Jon","Val",31.0,undirected
"Jon","Tywin",5.0,undirected
"Jon","Rhaegar",9.0,undirected
"Jon","Samwell",14.0,undirected
"Jon","Lemore",15.0,undirected
"Jon","Othell",7.0,undirected
"Jon","Selyse",14.0,undirected
"Jon","Robb",8.0,undirected
"Jon","Aemon",11.0,undirected
"Jon","Yandry",12.0,undirected
"Jon","Harry",14.0,undirected
"Jon","Varys",4.0,undirected
"Jon","Wun",6.0,undirected
"Jon","Emmett",13.0,undirected
"Jon","Janos",15.0,undirected
"Jon","Gilly",10.0,undirected
"Jon","Rattleshirt",21.0,undirected
"Jon","Axell",4.0,undirected
"Jon","Ysilla",6.0,undirected
"Jon","Mully",11.0,undirected
"Jon","Alys",13.0,undirected
"Jon","Devan",4.0,undirected
"Jon","Cotter",9.0,undirected
"Jon","Shireen",4.0,undirected
"Jon","Hobb",4.0,undirected
"Jon","Patrek",5.0,undirected
"Jon","Franklyn",4.0,undirected
"Jon","Donal",7.0,undirected
"Jon","Gerrick",5.0,undirected
"Jon","Sigorn",4.0,undirected
"Jon","Wick",5.0,undirected
"Jon","Rory",6.0,undirected
"Jon","Alliser",6.0,undirected
"Jon","Myles",7.0,undirected
"Jon","Malegorn",5.0,undirected
"Jon","Denys",4.0,undirected
"Jon","Benjen",4.0,undirected
"Tyrion","Daenerys",6.0,undirected
"Tyrion","Cersei",5.0,undirected
"Tyrion","Haldon",42.0,undirected
"Tyrion","Jorah",20.0,undirected
"Tyrion","Rolly",14.0,undirected
"Tyrion","Tywin",9.0,undirected
"Tyrion","Yezzan",15.0,undirected
"Tyrion","Lemore",14.0,undirected
"Tyrion","Moqorro",5.0,undirected
"Tyrion","Yandry",10.0,undirected
"Tyrion","Joffrey",6.0,undirected
"Tyrion","Nurse",8.0,undirected
"Tyrion","Myrcella",4.0,undirected
"Tyrion","Ysilla",10.0,undirected
"Tyrion","Qavo",4.0,undirected
"Daenerys","Hizdahr",52.0,undirected
"Daenerys","Barristan",41.0,undirected
"Daenerys","Quentyn",28.0,undirected
"Daenerys","Skahaz",21.0,undirected
"Daenerys","Daario",20.0,undirected
"Daenerys","Gerris",8.0,undirected
"Daenerys","Aegon",10.0,undirected
"Daenerys","Rhaegar",6.0,undirected
"Daenerys","Missandei",26.0,undirected
"Daenerys","Belwas",9.0,undirected
"Daenerys","Irri",21.0,undirected
"Daenerys","Worm",6.0,undirected
"Daenerys","Meris",5.0,undirected
"Daenerys","Xaro",13.0,undirected
"Daenerys","Jhiqui",13.0,undirected
"Daenerys","Cleon",6.0,undirected
"Daenerys","Viserys",6.0,undirected
"Daenerys","Drogo",7.0,undirected
"Daenerys","Rakharo",5.0,undirected
"Daenerys","Aggo",5.0,undirected
"Daenerys","Jhogo",4.0,undirected
"Theon","Stannis",10.0,undirected
"Theon","Ramsay",84.0,undirected
"Theon","Brandon",9.0,undirected
"Theon","Asha",7.0,undirected
"Theon","Arya",17.0,undirected
"Theon","Mance",9.0,undirected
"Theon","Roose",12.0,undirected
"Theon","Eddard",6.0,undirected
"Theon","Balon",4.0,undirected
"Theon","Jeyne",13.0,undirected
"Theon","Robb",4.0,undirected
"Theon","Walder",10.0,undirected
"Theon","Dick",4.0,undirected
"Theon","Barbrey",16.0,undirected
"Theon","Holly",9.0,undirected
"Theon","Rowan",12.0,undirected
"Theon","Alyn",8.0,undirected
"Theon","Rodrik",5.0,undirected
"Theon","Damon",4.0,undirected
"Theon","Harwood",5.0,undirected
"Theon","Skinner",4.0,undirected
"Theon","Squirrel",7.0,undirected
"Theon","Rickon",4.0,undirected
"Stannis","Ramsay",4.0,undirected
"Stannis","Asha",5.0,undirected
"Stannis","Davos",14.0,undirected
"Stannis","Mance",13.0,undirected
"Stannis","Melisandre",17.0,undirected
"Stannis","Cersei",4.0,undirected
"Stannis","Wyman",14.0,undirected
"Stannis","Roose",12.0,undirected
"Stannis","Robert",10.0,undirected
"Stannis","Eddard",5.0,undirected
"Stannis","Val",4.0,undirected
"Stannis","Samwell",5.0,undirected
"Stannis","Tommen",5.0,undirected
"Stannis","Justin",5.0,undirected
"Stannis","Selyse",5.0,undirected
"Stannis","Robb",5.0,undirected
"Stannis","Salladhor",4.0,undirected
"Stannis","Arnolf",5.0,undirected
"Stannis","Devan",5.0,undirected
"Stannis","Mors",5.0,undirected
"Stannis","Robett",4.0,undirected
"Hizdahr","Barristan",31.0,undirected
"Hizdahr","Quentyn",9.0,undirected
"Hizdahr","Skahaz",25.0,undirected
"Hizdahr","Daario",12.0,undirected
"Hizdahr","Belwas",10.0,undirected
"Hizdahr","Khrazz",7.0,undirected
"Hizdahr","Galazza",6.0,undirected
"Hizdahr","Bloodbeard",5.0,undirected
"Barristan","Quentyn",11.0,undirected
"Barristan","Skahaz",19.0,undirected
"Barristan","Daario",17.0,undirected
"Barristan","Missandei",7.0,undirected
"Barristan","Belwas",9.0,undirected
"Barristan","Worm",5.0,undirected
"Barristan","Khrazz",7.0,undirected
"Barristan","Groleo",7.0,undirected
"Ramsay","Arya",9.0,undirected
"Ramsay","Mance",7.0,undirected
"Ramsay","Roose",11.0,undirected
"Ramsay","Eddard",4.0,undirected
"Ramsay","Jeyne",8.0,undirected
"Ramsay","Dick",7.0,undirected
"Ramsay","Barbrey",5.0,undirected
"Ramsay","Alyn",5.0,undirected
"Ramsay","Damon",6.0,undirected
"Ramsay","Skinner",5.0,undirected
"Quentyn","Daario",5.0,undirected
"Quentyn","Gerris",32.0,undirected
"Quentyn","Tattered",11.0,undirected
"Quentyn","Meris",12.0,undirected
"Quentyn","Cletus",5.0,undirected
"Quentyn","Archibald",5.0,undirected
"Brandon","Arya",7.0,undirected
"Brandon","Hodor",49.0,undirected
"Brandon","Eddard",7.0,undirected
"Brandon","Meera",32.0,undirected
"Brandon","Robb",6.0,undirected
"Brandon","Jojen",16.0,undirected
"Brandon","Brynden",7.0,undirected
"Brandon","Coldhands",6.0,undirected
"Brandon","Leaf",5.0,undirected
"Brandon","Rickon",7.0,undirected
"Asha","Robert",4.0,undirected
"Asha","Justin",14.0,undirected
"Asha","Euron",4.0,undirected
"Asha","Tris",9.0,undirected
"Asha","Clayton",4.0,undirected
"Asha","Galbart",8.0,undirected
"Asha","Aly",7.0,undirected
"Davos","Wyman",30.0,undirected
"Davos","Eddard",4.0,undirected
"Davos","Salladhor",10.0,undirected
"Davos","Godric",8.0,undirected
"Davos","Marlon",4.0,undirected
"Davos","Robett",4.0,undirected
"Skahaz","Daario",8.0,undirected
"Skahaz","Missandei",4.0,undirected
