Brus Encounters:
Brus (Ser Brus), Benethon (Benethon), 1363889, "and nostrils.  �My loyal knights,� Queen Selyse went on. �Ser Narbert, Ser Benethon, Ser Brus"
Brus (Ser Brus), Narbert (Narbert), 1363889, "and nostrils.  �My loyal knights,� Queen Selyse went on. �Ser Narbert, Ser Benethon, Ser Brus"
Brus (Ser Brus), Selyse (Selyse), 1363889, "and nostrils.  �My loyal knights,� Queen Selyse went on. �Ser Narbert, Ser Benethon, Ser Brus"
Patrek (Ser Patrek), Brus (Ser Brus), 1363901, " �My loyal knights,� Queen Selyse went on. �Ser Narbert, Ser Benethon, Ser Brus, Ser Patrek"
Dorden (Dorden), Brus (Ser Brus), 1363913, "loyal knights,� Queen Selyse went on. �Ser Narbert, Ser Benethon, Ser Brus, Ser Patrek, Ser Dorden"
Malegorn (Ser Malegorn), Brus (Ser Brus), 1363927, "Queen Selyse went on. �Ser Narbert, Ser Benethon, Ser Brus, Ser Patrek, Ser Dorden, Ser Malegorn"
Lambert (Lambert), Brus (Ser Brus), 1363940, "went on. �Ser Narbert, Ser Benethon, Ser Brus, Ser Patrek, Ser Dorden, Ser Malegorn, Ser Lambert"
Perkin (Perkin), Brus (Ser Brus), 1363952, "�Ser Narbert, Ser Benethon, Ser Brus, Ser Patrek, Ser Dorden, Ser Malegorn, Ser Lambert, Ser Perkin"
Brus (Ser Brus), Axell (Axell), 1368654, "did not like that answer. Nor did her knights. Ser Axell grimaced in disgust, Ser Brus"
Narbert (Narbert), Brus (Ser Brus), 1368689, "did her knights. Ser Axell grimaced in disgust, Ser Brus gave a nervous titter, Ser Narbert"
Malegorn (Ser Malegorn), Brus (Ser Brus), 1378717, "By now presumably they were settling into the King�s Tower. But Ser Brus and Ser Malegorn"
Malegorn (Ser Malegorn), Brus (Ser Brus), 1520178, "Not all her queen�s men seemed to share her fervor. Ser Brus appeared half-drunk, Ser Malegorn"
Shireen (Princess Shireen), Brus (Ser Brus), 1540367, "to dance. Others followed�the queen�s knights first, partnered with her ladies. Ser Brus gave Princess Shireen"
Narbert (Narbert), Brus (Ser Brus), 1540430, "Brus gave Princess Shireen her first dance, then took a turn with her mother. Ser Narbert"
Brus (Ser Brus), Benethon (Benethon), 2113672, "all in a row: Ser Malegorn, Ser Benethon, Ser Narbert, Ser Patrek, Ser Dorden, Ser Brus"
Brus (Ser Brus), Dorden (Dorden), 2113672, "all in a row: Ser Malegorn, Ser Benethon, Ser Narbert, Ser Patrek, Ser Dorden, Ser Brus"
Brus (Ser Brus), Malegorn (Ser Malegorn), 2113672, "all in a row: Ser Malegorn, Ser Benethon, Ser Narbert, Ser Patrek, Ser Dorden, Ser Brus"
Brus (Ser Brus), Narbert (Narbert), 2113672, "all in a row: Ser Malegorn, Ser Benethon, Ser Narbert, Ser Patrek, Ser Dorden, Ser Brus"
Brus (Ser Brus), Patrek (Ser Patrek), 2113672, "all in a row: Ser Malegorn, Ser Benethon, Ser Narbert, Ser Patrek, Ser Dorden, Ser Brus"
Selyse (Selyse), Brus (Ser Brus), 2113740, "Narbert, Ser Patrek, Ser Dorden, Ser Brus. With so many bloodthirsty wildlings infesting Castle Black, Selyse"
Malegorn (Ser Malegorn), Brus (Buckler), 2116818, "at the same time�the second daughter with Ser Brus Buckler and the youngest with Ser Malegorn"
Jon (Jon), Brus (Buckler), 2116844, "daughter with Ser Brus Buckler and the youngest with Ser Malegorn of Redpool.�  �Sers.� Jon"
Brus (Ser Brus), Jon (Jon), 2144647, "as distinctive as his face. Jon did not want to risk Ser Malegorn or Ser Brus"
Brus (Ser Brus), Malegorn (Ser Malegorn), 2144647, "as distinctive as his face. Jon did not want to risk Ser Malegorn or Ser Brus"
Wun (Wun), Brus (Ser Brus), 2144710, "or Ser Brus or any of the queen�s other knights trying to avenge him.  Wun"
