Denys Encounters:
Denys (Ser Denys), Bowen (Bowen Marsh), 257273, "Jon to be their lord commander. Others had cast their stones for Bowen Marsh, Ser Denys"
Denys (Ser Denys), Jon (Jon), 257273, "Jon to be their lord commander. Others had cast their stones for Bowen Marsh, Ser Denys"
Cotter (Cotter), Denys (Denys Mallister), 257291, "be their lord commander. Others had cast their stones for Bowen Marsh, Ser Denys Mallister, Cotter"
Janos (Janos), Denys (Denys Mallister), 257317, "cast their stones for Bowen Marsh, Ser Denys Mallister, Cotter Pyke � and some for Janos"
Jon (Jon), Denys (Denys Mallister), 257359, "Mallister, Cotter Pyke � and some for Janos Slynt. Hundreds of them, as I recall. Jon"
Cotter (Cotter), Denys (Ser Denys), 342322, "thick black ink. He wrote two letters, the first to Ser Denys, the second to Cotter"
Cotter (Cotter), Denys (Ser Denys), 881040, "trained and disciplined, whose loyalty I should never have reason to doubt,� wrote Ser Denys. Cotter"
Jon (Jon), Denys (Denys Mallister), 978635, "my lord.�  �We�ve had a raven from Ser Denys Mallister at the Shadow Tower,� Jon"
Jon (Jon), Denys (Ser Denys), 1669840, "Ser Denys writes of great camps in the mountains beyond the Shadow Tower ��  Jon"
Denys (Denys), Qhorin (Qhorin Halfhand), 1807738, "Bear to treat with Tormund. It should have been Jaremy Rykker or Qhorin Halfhand or Denys"
