Gregor Encounters:
Doran (Doran), Gregor (Gregor Clegane), 34225, "fist of Ser Gregor Clegane. And without the Red Viper to urge him on, would Doran"
Balon (Ser Balon), Gregor (Mountain), 1182861, "rides no more,� the prince said, gravely.  �Was his dying long and hard, Ser Balon"
Gregor (Gregor), Balon (Balon Swann), 1183674, "him.�  �That is as it may be, my lady,� said Balon Swann, �but Ser Gregor"
Gregor (Gregor), Nym (Lady Nym), 1184258, "the Lady Nym is right. If ever a man deserved to die screaming, it was Gregor"
Gregor (Mountain), Arianne (Arianne), 1195543, "with Princess Arianne and Ellaria Sand. Maester Caleotte hurried behind on slippered feet, cradling the Mountain"
Gregor (Mountain), Caleotte (Maester Caleotte), 1195543, "with Princess Arianne and Ellaria Sand. Maester Caleotte hurried behind on slippered feet, cradling the Mountain"
Gregor (Mountain), Ellaria (Ellaria Sand), 1195543, "with Princess Arianne and Ellaria Sand. Maester Caleotte hurried behind on slippered feet, cradling the Mountain"
Trystane (Trystane), Gregor (Mountain), 1195621, "Mountain�s skull as if it were a child.  �You cannot seriously intend to send Trystane"
Gregor (Gregor), Caleotte (Maester Caleotte), 1197610, "no more need of you tonight.�  �Very good, my prince.� Maester Caleotte bowed, Ser Gregor"
Obara (Obara), Gregor (Gregor), 1197681, "bowed, Ser Gregor�s head still clutched in his soft pink hands.  �I�ll take that.� Obara"
Gregor (Mountain), Caleotte (Maester Caleotte), 1197989, "ruined the box,� suggested Lady Nym, as Maester Caleotte scurried off. �No one saw the Mountain"
Gregor (Mountain), Nym (Lady Nym), 1197989, "ruined the box,� suggested Lady Nym, as Maester Caleotte scurried off. �No one saw the Mountain"
Gregor (Gregor), Robert (Robert Baratheon), 1199151, "were a finish. Tywin Lannister is dead. So are Robert Baratheon, Amory Lorch, and now Gregor"
Gregor (Gregor), Tywin (Tywin Lannister), 1199151, "were a finish. Tywin Lannister is dead. So are Robert Baratheon, Amory Lorch, and now Gregor"
Elia (Elia), Gregor (Gregor Clegane), 1199203, "Baratheon, Amory Lorch, and now Gregor Clegane, all those who had a hand in murdering Elia"
Joffrey (Joffrey), Gregor (Gregor Clegane), 1199234, "Gregor Clegane, all those who had a hand in murdering Elia and her children. Even Joffrey"
Tyene (Tyene), Gregor (Gregor), 1200161, "his dying would not have been so easy.�  �Ser Gregor does look lonely,� said Tyene"
Gregor (Mountain), Ellaria (Ellaria Sand), 1200839, "forever? I ask again, where does it end?� Ellaria Sand laid her hand on the Mountain"
Gregor (Mountain), Doran (Doran), 1211669, "gone, he put down his longaxe and lifted Prince Doran into his bed. �Until the Mountain"
Gregor (Mountain), Patrek (Ser Patrek), 1370920, "as pets.�  Another bloody southron fool. �You are �?�  �Ser Patrek of King�s Mountain"
Raff (Raff), Gregor (Gregor), 1394244, "shadow, splashed cool water on her face, patted herself dry. Ser Gregor, she thought. Dunsen, Raff"
Ilyn (Ilyn), Gregor (Gregor), 1394268, "on her face, patted herself dry. Ser Gregor, she thought. Dunsen, Raff the Sweetling. Ser Ilyn"
Meryn (Meryn), Gregor (Gregor), 1394279, "face, patted herself dry. Ser Gregor, she thought. Dunsen, Raff the Sweetling. Ser Ilyn, Ser Meryn"
Cersei (Cersei), Gregor (Gregor), 1394293, "herself dry. Ser Gregor, she thought. Dunsen, Raff the Sweetling. Ser Ilyn, Ser Meryn, Queen Cersei"
Jaime (Jaime), Gregor (Mountain), 1498710, "of my daughters. I will have recompense.�  �The Mountain�s dead, as is my father,� Jaime"
Gregor (Mountain), Narbert (Narbert), 1520301, "arse of the lady beside him, Ser Narbert was yawning, and Ser Patrek of King�s Mountain"
Gregor (Mountain), Patrek (Ser Patrek), 1520301, "arse of the lady beside him, Ser Narbert was yawning, and Ser Patrek of King�s Mountain"
Jon (Jon), Gregor (Mountain), 1520319, "lady beside him, Ser Narbert was yawning, and Ser Patrek of King�s Mountain looked angry. Jon"
Stannis (Stannis), Gregor (Mountain), 1520360, "and Ser Patrek of King�s Mountain looked angry. Jon Snow had begun to understand why Stannis"
Gregor (Mountain), Patrek (Ser Patrek), 1541345, "some of the queen�s knights were looking at the steward, particularly Ser Patrek of King�s Mountain"
Gregor (Mountain), Patrek (Ser Patrek), 1658910, "on the steps, two inside by the brazier. Commanding them was Ser Patrek of King�s Mountain"
Raff (Raff), Gregor (Gregor), 1964238, "and a taste for blood.�  Ser Gregor, she could not help but think. Dunsen, Raff"
Ilyn (Ilyn), Gregor (Gregor), 1964262, "blood.�  Ser Gregor, she could not help but think. Dunsen, Raff the Sweetling. Ser Ilyn"
Meryn (Meryn), Gregor (Gregor), 1964273, "Ser Gregor, she could not help but think. Dunsen, Raff the Sweetling. Ser Ilyn, Ser Meryn"
