Harwood Encounters:
Mors (Mors), Harwood (Harwood Fell), 522067, "ago.�  �That�s why he wants the head,� said Harwood Fell.  �Can this man Mors"
Stannis (Stannis), Harwood (Harwood Fell), 522094, "he wants the head,� said Harwood Fell.  �Can this man Mors be trusted?� asked Stannis"
Harwood (Harwood), Clayton (Clayton Suggs), 532601, "giving Jon a measured look. Clayton Suggs drained his cup dry and muttered something to Harwood"
Harwood (Harwood), Jon (Jon), 532601, "giving Jon a measured look. Clayton Suggs drained his cup dry and muttered something to Harwood"
Harwood (Harwood), Justin (Justin Massey), 636005, "fared better. Three hundred men of fighting age, Justin Massey had claimed in council. Lord Harwood"
Jon (Jon), Harwood (Fell), 636159, "maybe as many as a hundred. Fell�s count had included men who had suffered wounds, Jon"
Harwood (Lord Stout), Jeyne (Grey Jeyne), 993928, "provided the night�s best entertainment, when Maude and Grey Jeyne tore into one of Lord Stout"
Theon (Reek), Harwood (Lord Stout), 994005, "of Lord Stout�s hounds over an especially meaty bone that Will Short had tossed them. Reek"
Theon (Reek), Harwood (Harwood Stout), 996006, "in their jaws. Harwood Stout bowed stiffly and relinquished his hall without a word. �Unchain Reek"
Roose (Lord Bolton), Harwood (Harwood Stout), 1005831, "a mile from Barrow Hall to Harwood Stout�s modest keep beside the eastern gates. Lord Bolton"
Hother (Whoresbane), Harwood (Lord Stout), 1147774, "features seem bestial, half-human, twisted. Lord Stout became a mastiff, old Lord Locke a vulture, Whoresbane"
Walder (Big Walder), Harwood (Lord Stout), 1147803, "Lord Stout became a mastiff, old Lord Locke a vulture, Whoresbane Umber a gargoyle, Big Walder"
Hother (Whoresbane), Harwood (Harwood Stout), 1263804, "the pork pies at the wedding. Elsewhere one-armed Harwood Stout talked quietly with the cadaverous Whoresbane"
Theon (Theon), Harwood (Harwood Stout), 1263818, "at the wedding. Elsewhere one-armed Harwood Stout talked quietly with the cadaverous Whoresbane Umber.  Theon"
Harwood (Harwood), Theon (Theon), 1278917, "was the fattest snowman that Theon had ever seen. The one-armed lord could only be Harwood"
Barbrey (Barbrey), Harwood (Harwood Stout), 1278946, "Theon had ever seen. The one-armed lord could only be Harwood Stout, the snow lady Barbrey"
Harwood (Lord Fell), Asha (Asha), 1294940, "knights told each other.  �Robert would have done it in ten,� Asha heard Lord Fell"
Harwood (Lord Fell), Robert (Robert), 1294940, "knights told each other.  �Robert would have done it in ten,� Asha heard Lord Fell"
Robert (Robert), Harwood (Lord Fell), 1294989, "done it in ten,� Asha heard Lord Fell boasting. His grandsire had been slain by Robert"
Harwood (Harwood), Arnolf (Arnolf Karstark), 1300132, "mount a siege.�  �Arnolf Karstark will join his strength to ours, never forget,� said Harwood"
Mors (Mors), Harwood (Harwood Fell), 1300144, "siege.�  �Arnolf Karstark will join his strength to ours, never forget,� said Harwood Fell. �Mors"
Roose (Lord Bolton), Harwood (Harwood Fell), 1300204, "said Harwood Fell. �Mors Umber as well. We will have as many northmen as Lord Bolton"
Harwood (Harwood), Stannis (Stannis), 1432093, "fight to Stannis and make an end to him.�  �Leave the castle?� croaked one-armed Harwood"
Harwood (Harwood), Roger (Roger Ryswell), 1581259, "Wyman Manderly calling for more sausages and Roger Ryswell�s laughter at some jape from one-armed Harwood"
Theon (Theon), Harwood (Harwood Stout), 1581273, "for more sausages and Roger Ryswell�s laughter at some jape from one-armed Harwood Stout.  Theon"
Harwood (Lord Fell), Peasebury (Peasebury), 1914082, "told her that four Peasebury men had been found butchering one of the late Lord Fell"
