Jhogo Encounters:
Aggo (Aggo), Jhogo (Jhogo), 1114193, "put her heels into her silver. The others trotted after her. Jhogo rode before her, Aggo"
Rakharo (Rakharo), Jhogo (Jhogo), 1114205, "heels into her silver. The others trotted after her. Jhogo rode before her, Aggo and Rakharo"
Aggo (Aggo), Jhogo (Jhogo), 1118661, " �It is not good to touch the dead,� said Jhogo.  �This is known,� Aggo"
Rakharo (Rakharo), Jhogo (Jhogo), 1118673, "is not good to touch the dead,� said Jhogo.  �This is known,� Aggo and Rakharo"
Daenerys (Dany), Jhogo (Jhogo), 1118718, " �This is known,� Aggo and Rakharo said, together.  �That may be so,� said Dany"
Daenerys (Khaleesi), Jhogo (Jhogo), 1121339, "but I can show them that their Mother cares.�  Jhogo sucked in his breath. �Khaleesi"
Rakharo (Rakharo), Jhogo (Jhogo), 1122145, "were pulling the living from the dead and stacking up the corpses, while Jhogo and Rakharo"
Jhogo (Jhogo), Aggo (Aggo), 1123941, "legs thick with muscle and four bells in his hair. He towered over Aggo and Jhogo"
Jhogo (Jhogo), Daenerys (Dany), 1556331, "its own out to the siege camp: Hizdahr�s sister, two of his cousins, Dany�s bloodrider Jhogo"
Jhogo (Jhogo), Hizdahr (Hizdahr), 1556331, "its own out to the siege camp: Hizdahr�s sister, two of his cousins, Dany�s bloodrider Jhogo"
Groleo (Groleo), Jhogo (Jhogo), 1556351, "to the siege camp: Hizdahr�s sister, two of his cousins, Dany�s bloodrider Jhogo, her admiral Groleo"
Daario (Daario), Jhogo (Jhogo), 1556391, "two of his cousins, Dany�s bloodrider Jhogo, her admiral Groleo, the Unsullied captain Hero, and Daario"
Jhogo (Jhogo), Skahaz (Shavepate), 1712865, "Skahaz Shavepate had been stripped of his command. The Unsullied had withdrawn to their barracks. Jhogo"
Daario (Daario), Jhogo (Jhogo), 1712873, "Shavepate had been stripped of his command. The Unsullied had withdrawn to their barracks. Jhogo, Daario"
Groleo (Groleo), Jhogo (Jhogo), 1712897, "stripped of his command. The Unsullied had withdrawn to their barracks. Jhogo, Daario Naharis, Admiral Groleo"
Jhogo (Jhogo), Aggo (Aggo), 1841294, "was the missing faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo"
Jhogo (Jhogo), Barristan (Barristan Selmy), 1841294, "was the missing faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo"
Jhogo (Jhogo), Belwas (Belwas), 1841294, "was the missing faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo"
Jhogo (Jhogo), Missandei (Missandei), 1841294, "was the missing faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo"
Jhogo (Jhogo), Worm (Grey Worm), 1841294, "was the missing faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo"
Rakharo (Rakharo), Jhogo (Jhogo), 1841306, "missing faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo and Rakharo"
Irri (Irri), Jhogo (Jhogo), 1841312, "faces that Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo and Rakharo, Irri"
Jhiqui (Jhiqui), Jhogo (Jhogo), 1841323, "Barristan Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo and Rakharo, Irri and Jhiqui"
Daario (Daario), Jhogo (Jhogo), 1841331, "Selmy noted most: Missandei, Belwas, Grey Worm, Aggo and Jhogo and Rakharo, Irri and Jhiqui, Daario"
Skahaz (Shavepate), Jhogo (Jhogo), 1841357, "Belwas, Grey Worm, Aggo and Jhogo and Rakharo, Irri and Jhiqui, Daario Naharis. In the Shavepate"
Jhogo (Jhogo), Groleo (Groleo), 1851290, "Groleo had a wife back in Pentos. Children, grandchildren. Why him, of all the hostages? Jhogo"
Daario (Daario), Jhogo (Jhogo), 1851308, "wife back in Pentos. Children, grandchildren. Why him, of all the hostages? Jhogo, Hero, and Daario"
Groleo (Groleo), Jhogo (Jhogo), 1851355, "him, of all the hostages? Jhogo, Hero, and Daario Naharis all commanded fighting men, but Groleo"
