Rhaegar Encounters:
Rhaegar (Rhaegar), Aegon (Aegon), 81592, "had only been conceived when Aegon and his sister were murdered. Their father, her brother Rhaegar"
Eddard (Usurper), Rhaegar (Rhaegar), 81637, "his sister were murdered. Their father, her brother Rhaegar, perished even earlier, slain by the Usurper"
Viserys (Viserys), Rhaegar (Rhaegar), 81673, "her brother Rhaegar, perished even earlier, slain by the Usurper on the Trident. Her brother Viserys"
Rhaegar (Rhaegar), Viserys (Prince Viserys), 468530, "face. �Prince Viserys weren�t the only dragon, were he? Are we sure they killed Prince Rhaegar"
Daena (Daena), Rhaegar (Rhaegar), 468746, " �Two,� said the old fellow. �One was Rhaegar�s daughter, t�other was his sister.�  �Daena"
Jon (Jon), Rhaegar (Rhaegar), 561492, "it true. Who better to raise Prince Rhaegar�s infant son than Prince Rhaegar�s dear friend Jon"
Rhaegar (Rhaegar), Wyman (Wyman Manderly), 586823, "Frey spoke up. �Lord Wyman, if I may?�  Wyman Manderly gave him a nod. �Rhaegar"
Rhaegar (Rhaegar), Davos (Davos), 589208, "still. Davos could feel the chill in the air. Lord Wyman was looking down at Rhaegar"
Rhaegar (Rhaegar), Wyman (Wyman), 589208, "still. Davos could feel the chill in the air. Lord Wyman was looking down at Rhaegar"
Jon (Lord Connington), Rhaegar (Rhaegar), 655103, "No, I cannot claim I knew Prince Rhaegar. Not as your false father did. Lord Connington"
Robert (Robert), Rhaegar (Rhaegar), 720473, "his guts. Others might claim that the realm was lost when Prince Rhaegar fell to Robert"
Rhaegar (Rhaegar), Jon (Griff), 722469, "put him on the Iron Throne, however. That was Griff�s task. He had failed Prince Rhaegar"
Haldon (Haldon), Rhaegar (Rhaegar), 722548, "once. He would not fail his son, not whilst life remained in his body.  Haldon"
Rhaegar (Rhaegar), Aerys (Aerys), 725630, "you, make you sour and fearful.� King Aerys was one such. By the end, even Rhaegar"
Rhaegar (Rhaegar), Aegon (Aegon Targaryen), 736313, "his name is not Griff. My lords, I give you Aegon Targaryen, firstborn son of Rhaegar"
Rhaegar (Rhaegar), Jon (Griff), 736313, "his name is not Griff. My lords, I give you Aegon Targaryen, firstborn son of Rhaegar"
Elia (Princess Elia), Rhaegar (Rhaegar), 736354, "lords, I give you Aegon Targaryen, firstborn son of Rhaegar, Prince of Dragonstone, by Princess Elia"
Aegon (Aegon), Rhaegar (Rhaegar), 736399, "Prince of Dragonstone, by Princess Elia of Dorne � soon, with your help, to be Aegon"
Rhaegar (Rhaegar), Aegon (Prince Aegon), 741982, "then Prince Aegon spoke. �Then put your hopes on me,� he said. �Daenerys is Prince Rhaegar"
Rhaegar (Rhaegar), Daenerys (Daenerys), 741982, "then Prince Aegon spoke. �Then put your hopes on me,� he said. �Daenerys is Prince Rhaegar"
Jon (Griff), Rhaegar (Rhaegar), 742060, "sister, but I am Rhaegar�s son. I am the only dragon that you need.�  Griff"
Rhaegar (Rhaegar), Harry (Homeless Harry), 743656, "many and more will flock to join us.�  �Some,� allowed Homeless Harry, �not many. Rhaegar"
Rhaegar (Rhaegar), Aegon (Prince Aegon), 745248, "Dorne will join us, must join us. Prince Aegon is Elia�s son as well as Rhaegar"
Rhaegar (Rhaegar), Elia (Elia), 745248, "Dorne will join us, must join us. Prince Aegon is Elia�s son as well as Rhaegar"
Rhaegar (Rhaegar), Eddard (Usurper), 749227, "see Griffin�s Roost again. To end the Usurper�s line for good and all, and put Rhaegar"
Jon (Lord Jon), Rhaegar (Rhaegar), 749270, "for good and all, and put Rhaegar�s son upon the Iron Throne.  Then Lord Jon"
Rhaegar (Rhaegar), Jared (Jared), 919003, "for some whiff of treachery. You saw them, the arrogant Ser Jared and his nephew Rhaegar"
