Rhaenys Encounters:
Rhaenys (Princess Rhaenys), Robert (Robert), 366319, "of children, he told Robert to find himself another Hand.�  �Have you forgotten Princess Rhaenys"
Aegon (Prince Aegon), Rhaenys (Princess Rhaenys), 366336, "told Robert to find himself another Hand.�  �Have you forgotten Princess Rhaenys and Prince Aegon"
Rhaenys (Rhaenys), Myrcella (Myrcella), 1199452, "is there to kill? Do Myrcella and Tommen need to die so the shades of Rhaenys"
Rhaenys (Rhaenys), Tommen (Tommen), 1199452, "is there to kill? Do Myrcella and Tommen need to die so the shades of Rhaenys"
Aegon (Aegon), Rhaenys (Rhaenys), 1199462, "to kill? Do Myrcella and Tommen need to die so the shades of Rhaenys and Aegon"
Rhaenys (Rhaenys), Aegon (Aegon), 1727886, "finer king than any of them. Princess Elia and the children. Aegon just a babe, Rhaenys"
Rhaenys (Rhaenys), Elia (Princess Elia), 1727886, "finer king than any of them. Princess Elia and the children. Aegon just a babe, Rhaenys"
Aegon (Prince Aegon), Rhaenys (Princess Rhaenys), 1899255, "birth of Princess Rhaenys, her mother had been bedridden for half a year, and Prince Aegon"
Rhaenys (Rhaenys), Barristan (Barristan), 2059465, "know that I am right.�  �Prince Rhaegar had two children,� Ser Barristan told him. �Rhaenys"
Rhaenys (Rhaenys), Rhaegar (Rhaegar), 2059465, "know that I am right.�  �Prince Rhaegar had two children,� Ser Barristan told him. �Rhaenys"
Aegon (Aegon), Rhaenys (Rhaenys), 2059490, " �Prince Rhaegar had two children,� Ser Barristan told him. �Rhaenys was a little girl, Aegon"
Tywin (Tywin), Rhaenys (Rhaenys), 2059517, "Ser Barristan told him. �Rhaenys was a little girl, Aegon a babe in arms. When Tywin"
