Varys Encounters:
Varys (Varys), Tyrion (Tyrion Lannister), 36410, "Lord Tywin sat back down, and Tyrion Lannister found himself waddling through the darkness with Varys"
Varys (Varys), Tywin (Tywin), 36410, "Lord Tywin sat back down, and Tyrion Lannister found himself waddling through the darkness with Varys"
Varys (Varys), Shae (Shae), 37558, "He was rising when I killed him.  �I killed Shae too,� he confessed to Varys"
Jaime (Jaime), Varys (Varys), 37886, "his dagger. Not gratitude. Varys had saved him from a headsman�s sword, but only because Jaime"
Daenerys (Daenerys), Varys (Varys), 177066, "this dream was not prophetic. You are a clever imp, just as Varys said, and Daenerys"
Barristan (Barristan), Varys (Varys), 177120, "just as Varys said, and Daenerys will have need of clever men about her. Ser Barristan"
Robert (Robert), Varys (Varys), 366135, "you no ill will. When the eunuch Varys told us that you were with child, Robert"
Varys (Varys), Jon (Griff), 561175, "your feigned father. Griff, is it?� The dwarf sniggered. �You should thank the gods that Varys"
Jon (Griff), Varys (Varys the Spider), 561225, "thank the gods that Varys the Spider is a part of this plot of yours. Griff"
Tyrion (Tyrion), Varys (Varys), 655953, "Varys gave the Pisswater boy to my lady mother and carried me away.�  �Aye.� Tyrion"
Varys (Spider), Jon (Griff), 729618, "What does a eunuch know of a man�s honor? Griff had gone along with the Spider"
Varys (Varys), Jon (Griff), 735877, "be your son.�  Does he know? Griff wondered. How much did Myles tell him? Varys"
Varys (Varys), Myles (Myles), 735877, "be your son.�  Does he know? Griff wondered. How much did Myles tell him? Varys"
Varys (Spider), Petyr (Littlefinger), 1564756, "suited. In King�s Landing work of this sort was left to Lord Littlefinger or the Spider"
Petyr (Littlefinger), Varys (Spider), 1724334, "the dark, all the things he�d hoped to leave behind with the Spider and Lord Littlefinger"
Barristan (Barristan), Varys (Spider), 1724359, "things he�d hoped to leave behind with the Spider and Lord Littlefinger and their ilk. Barristan"
Varys (Varys), Sansa (Sansa), 2001291, "followed him as Lord of Winterfell, but Sansa would have stayed at court, a hostage. Varys"
Petyr (Littlefinger), Varys (Varys), 2001308, "as Lord of Winterfell, but Sansa would have stayed at court, a hostage. Varys and Littlefinger"
Eddard (Ned), Varys (Varys), 2001342, "have stayed at court, a hostage. Varys and Littlefinger had worked out the terms, and Ned"
Aerys (Aerys), Varys (Varys), 2065721, "his brother, Ser Oswell Whent of the Kingsguard. With Varys whispering in his ear, King Aerys"
Varys (Spider), Barristan (Barristan), 2067941, "Ser Barristan wondered if he would live to see it. If Hizdahr has his own Spider"
Varys (Spider), Hizdahr (Hizdahr), 2067941, "Ser Barristan wondered if he would live to see it. If Hizdahr has his own Spider"
Varys (Lord Varys), Petyr (Littlefinger), 2161682, "of such a thing himself. In King�s Landing, bribes had been Littlefinger�s domain, whilst Lord Varys"
Kevan (Kevan), Varys (Varys), 2252347, "Silk slippers swaddled his feet.  �Varys?�  The eunuch set the crossbow down. �Ser Kevan"
Varys (Varys), Kevan (Kevan), 2253109, "of wind blew up. Ser Kevan shivered violently.  �Are you cold, my lord?� asked Varys"
Pycelle (Grand Maester), Varys (Varys), 2253144, "shivered violently.  �Are you cold, my lord?� asked Varys. �Do forgive me. The Grand Maester"
