Xaro Encounters:
Hizdahr (Hizdahr), Xaro (Xhoan Daxos), 92950, "such matters, but I dwelt with Xaro Xhoan Daxos long enough to learn that much. Hizdahr"
Daenerys (Daenerys), Xaro (Xhoan Daxos), 475933, "Xaro Xhoan Daxos as his head turned to follow the dancers.  In his honor Daenerys"
Jhiqui (Jhiqui), Xaro (Xaro), 478252, "wines that had filled her cup of late. Xaro perused the fruits on the platter Jhiqui"
Daenerys (Daenerys), Xaro (Xaro), 478554, "Tart fruit and tart women give life its savor.� Xaro took another bite, chewed, swallowed. �Daenerys"
Xaro (Xaro), Daenerys (Dany), 479999, "slavers back into people, Dany had sworn to herself.  �I had to come,� said Xaro"
Xaro (Xaro), Barristan (Barristan the Bold), 481941, "hilt. �Barristan the Bold, they call him. Twice he has saved me from assassins.�  Xaro"
Barristan (Barristan), Xaro (Xaro), 481985, "him. Twice he has saved me from assassins.�  Xaro gave Selmy a cursory inspection. �Barristan"
Xaro (Xaro), Daenerys (Dany), 484033, "jeweled nose made a tempting target. This time Dany threw an apricot at him.  Xaro"
Daenerys (Dany), Xaro (Xaro), 484262, "in Qarth?�  I was a beggar queen and you were Xaro of the Thirteen, Dany"
Daenerys (Daenerys), Xaro (Xaro), 485637, "trumpetings, and your trees would shatter beneath the weight of great grey birds.� Xaro sighed. �Daenerys"
Daenerys (Daenerys), Xaro (Xaro), 490479, "of some great lords and merchant princes.�  Xaro took no notice of the sally. �Daenerys"
Xaro (Xaro), Daenerys (Daenerys), 494384, "inspect these ships?�  �You have grown suspicious, Daenerys.�  Always. �I have grown wise, Xaro"
Daenerys (Dany), Xaro (Xaro), 496475, "thought when he was gone. I would have no need of Xaro or his ships. Dany"
Xaro (Xaro), Daenerys (Dany), 499459, "Merreq, and Dany gave her a happy hug and thanked her with a kiss.  �Xaro"
Irri (Irri), Xaro (Xhoan Daxos), 499519, "her with a kiss.  �Xaro Xhoan Daxos has offered me thirteen galleys,� she told Irri"
Jhiqui (Jhiqui), Xaro (Xhoan Daxos), 499530, "a kiss.  �Xaro Xhoan Daxos has offered me thirteen galleys,� she told Irri and Jhiqui"
Xaro (Xaro), Daenerys (Dany), 506119, "�If they love me so much, they will wait for me.� Dany stood. �Reznak, summon Xaro"
Xaro (Xaro), Daenerys (Dany), 506610, "the floor. It was old, dusty, faded � and huge. Dany had to move to Xaro"
Daenerys (Dany), Xaro (Xaro), 509047, "can quench dragonfire. Leave me, Xaro. Quickly.�  He went but left his world behind. Dany"
Xaro (Xaro), Daario (Daario), 708308, "yet somehow the compliment meant more coming from Daario than from the likes of Reznak, Xaro"
Hizdahr (Hizdahr), Xaro (Xaro), 708320, "the compliment meant more coming from Daario than from the likes of Reznak, Xaro, or Hizdahr"
