Yandry Encounters:
Yandry (Yandry), Jon (Griff), 419810, "to Griff, the Shy Maid would continue downstream by night as well as day, but Yandry"
Ysilla (Ysilla), Yandry (Yandry), 419821, "the Shy Maid would continue downstream by night as well as day, but Yandry and Ysilla"
Ysilla (Ysilla), Yandry (Yandry), 422963, "stretch marks on her belly that could only have come from childbirth.  Yandry and Ysilla"
Yandry (Yandry), Ysilla (Ysilla), 423030, " Yandry and Ysilla had risen with the sun and were going about their business. Yandry"
Lemore (Lemore), Yandry (Yandry), 423061, "with the sun and were going about their business. Yandry stole a glance at Septa Lemore"
Ysilla (Ysilla), Yandry (Yandry), 425569, "into the current. Slowly the boat began to move downstream. Yandry went to the tiller. Ysilla"
Tyrion (Yollo), Yandry (Yandry), 426440, "much mightier.�  Yandry snorted in derision. �Mother Rhoyne has no need of your water, Yollo"
Yandry (Yandry), Tyrion (Tyrion), 427599, "more bacon. Tyrion pulled apart two biscuits, filled them with bacon, and carried one to Yandry"
Rolly (Duck), Yandry (Yandry), 427639, "filled them with bacon, and carried one to Yandry at the tiller. Afterward he helped Duck"
Yandry (Yandry), Rolly (Duck), 427687, "at the tiller. Afterward he helped Duck to raise the Shy Maid�s big lateen sail. Yandry"
Rolly (Rolly), Yandry (Yandry), 430266, "as he and Yandry were hauling the knight back aboard the Shy Maid.  Ser Rolly"
Tyrion (Tyrion), Yandry (Yandry), 430281, "and Yandry were hauling the knight back aboard the Shy Maid.  Ser Rolly grabbed Tyrion"
Ysilla (Ysilla), Yandry (Yandry), 437160, "to correct your errors.�  There were four cabins on the Shy Maid. Yandry and Ysilla"
Jon (Griff), Yandry (Yandry), 437178, "errors.�  There were four cabins on the Shy Maid. Yandry and Ysilla shared one, Griff"
Lemore (Lemore), Yandry (Yandry), 437216, "on the Shy Maid. Yandry and Ysilla shared one, Griff and Young Griff another. Septa Lemore"
Yandry (Yandry), Jon (Young Griff), 441128, "not help but laugh.  Later, when Young Griff went up on deck to help Yandry"
Haldon (Haldon), Yandry (Yandry), 441161, "when Young Griff went up on deck to help Yandry with the sails and poles, Haldon"
Tyrion (Tyrion), Yandry (Yandry), 441209, "Yandry with the sails and poles, Haldon set up his cyvasse table for their game. Tyrion"
Yandry (Yandry), Rolly (Duck), 443929, "little man finally crept back up on deck to empty his bladder. Duck was helping Yandry"
Ysilla (Ysilla), Yandry (Yandry), 443965, "on deck to empty his bladder. Duck was helping Yandry wrestle down the sail, while Ysilla"
Yandry (Yandry), Tyrion (Yollo), 446329, "palace, and this is all that remains of Ny Sar, her city.  �Yollo,� shouted Yandry"
Yandry (Yandry), Tyrion (Tyrion), 448422, "�A turtle,� said Tyrion. �A turtle bigger than this boat.�  �It was him,� cried Yandry"
Tyrion (Tyrion), Yandry (Yandry), 448472, "�It was him,� cried Yandry. �The Old Man of the River.�  And why not? Tyrion"
Yandry (Yandry), Rolly (Rolly Duckfield), 542450, "that it still hung at his side. Rolly Duckfield was pushing at the starboard pole, Yandry"
Ysilla (Ysilla), Yandry (Yandry), 542474, "at his side. Rolly Duckfield was pushing at the starboard pole, Yandry at the larboard. Ysilla"
Haldon (Haldon), Yandry (Yandry), 542526, "Yandry at the larboard. Ysilla had the tiller.  �I do not like this place,� Haldon"
Rolly (Duck), Yandry (Yandry), 548016, "damp and chilly. A sunken temple loomed up out of the greyness as Yandry and Duck"
Tyrion (Tyrion), Yandry (Yandry), 548422, "the river, and the richest,� said Yandry. �Chroyane, the festival city.�  Too rich, thought Tyrion"
Jon (Griff), Yandry (Yandry), 549068, "�What word from old Volantis?� Yandry called.  �War,� the word came back.  �Where?� Griff"
Jon (Griff), Yandry (Yandry), 549803, " �The pirates will not sail into the Sorrows,� said Yandry.  �Elephants with stripes?� Griff"
Nyessos (Nyessos), Yandry (Yandry), 549842, "into the Sorrows,� said Yandry.  �Elephants with stripes?� Griff muttered. �What is that about? Nyessos"
Malaquo (Malaquo), Yandry (Yandry), 549854, "Sorrows,� said Yandry.  �Elephants with stripes?� Griff muttered. �What is that about? Nyessos and Malaquo"
Yandry (Yandry), Jon (Griff), 550804, "them into Griff�s supper. The trouble was, Griff scarce seemed to eat.  Duck and Yandry"
Yandry (Yandry), Rolly (Duck), 550804, "them into Griff�s supper. The trouble was, Griff scarce seemed to eat.  Duck and Yandry"
Ysilla (Ysilla), Yandry (Yandry), 550837, "trouble was, Griff scarce seemed to eat.  Duck and Yandry pushed against the poles. Ysilla"
Jon (Young Griff), Yandry (Yandry), 550868, "to eat.  Duck and Yandry pushed against the poles. Ysilla turned the tiller. Young Griff"
Yandry (Yandry), Tyrion (Tyrion), 558772, "that? Why am I everything?�  �Why,� said Tyrion, �if the stone men had taken Yandry"
Jon (Griff), Yandry (Yandry), 558781, "am I everything?�  �Why,� said Tyrion, �if the stone men had taken Yandry or Griff"
Lemore (Lemore), Yandry (Yandry), 558802, "�Why,� said Tyrion, �if the stone men had taken Yandry or Griff or our lovely Lemore"
Yandry (Yandry), Rolly (Duck), 562695, "the river. Duck stood squinting, clutching his pole with both hands. After a time even Yandry"
Lemore (Lemore), Yandry (Yandry), 563028, "way.�  �Mother Rhoyne runs how she will,� murmured Yandry.  �Seven save us,� said Lemore"
Yandry (Yandry), Jon (Griff), 564841, "but his arm tumbled to the deck all the same. Griff kicked the limb aside. Yandry"
Rolly (Duck), Yandry (Yandry), 564850, "arm tumbled to the deck all the same. Griff kicked the limb aside. Yandry and Duck"
Ysilla (Ysilla), Yandry (Yandry), 651843, "been forced to remain on the Shy Maid instead of going ashore with Yandry and Ysilla"
Lemore (Lemore), Yandry (Yandry), 651884, "instead of going ashore with Yandry and Ysilla. �We only want to keep you safe,� Lemore"
Yandry (Yandry), Jon (Young Griff), 653146, "the truth beneath the dyed blue hair of Griff and Young Griff easily enough, and Yandry"
