Source,Target,Weight,Type
"Aegon-I-Targaryen","Harren-Hoare",4.0,undirected
"Aegon-I-Targaryen","Nan",3.0,undirected
"Aegon-I-Targaryen","Rhaenys-Targaryen",4.0,undirected
"Aegon-I-Targaryen","Tyrion-Lannister",3.0,undirected
"Aegon-I-Targaryen","Visenya-Targaryen",3.0,undirected
"Aegon-V-Targaryen","Aemon-Targaryen-(Maester-Aemon)",3.0,undirected
"Aemon-Targaryen-(Maester-Aemon)","Daeron-II-Targaryen",3.0,undirected
"Aemon-Targaryen-(Maester-Aemon)","Jeor-Mormont",9.0,undirected
"Aemon-Targaryen-(Maester-Aemon)","Jon-Snow",10.0,undirected
"Aemon-Targaryen-(Maester-Aemon)","Maekar-I-Targaryen",3.0,undirected
"Aemon-Targaryen-(Maester-Aemon)","Samwell-Tarly",5.0,undirected
"Aenys-Frey","Arya-Stark",5.0,undirected
"Aeron-Greyjoy","Dagmer",3.0,undirected
"Aeron-Greyjoy","Theon-Greyjoy",11.0,undirected
"Aerys-I-Targaryen","Robert-Baratheon",3.0,undirected
"Aerys-II-Targaryen","Eddard-Stark",5.0,undirected
"Aerys-II-Targaryen","Jaime-Lannister",4.0,undirected
"Aerys-II-Targaryen","Rhaegar-Targaryen",4.0,undirected
"Aerys-II-Targaryen","Robert-Baratheon",6.0,undirected
"Aerys-II-Targaryen","Tyrion-Lannister",3.0,undirected
"Aggar","Gariss",3.0,undirected
"Aggar","Gelmarr",3.0,undirected
"Aggar","Gynir",3.0,undirected
"Aggar","Reek",4.0,undirected
"Aggo","Belwas",3.0,undirected
"Aggo","Daenerys-Targaryen",10.0,undirected
"Aggo","Jhogo",12.0,undirected
"Aggo","Jorah-Mormont",4.0,undirected
"Aggo","Rakharo",4.0,undirected
"Alayaya","Dancy",3.0,undirected
"Alayaya","Tyrion-Lannister",3.0,undirected
"Alebelly","Bran-Stark",7.0,undirected
"Alebelly","Hayhead",3.0,undirected
"Alebelly","Jojen-Reed",6.0,undirected
"Alebelly","Mikken",3.0,undirected
"Alester-Florent","Cortnay-Penrose",4.0,undirected
"Alester-Florent","Davos-Seaworth",3.0,undirected
"Alester-Florent","Renly-Baratheon",3.0,undirected
"Alester-Florent","Stannis-Baratheon",5.0,undirected
"Allar-Deem","Janos-Slynt",3.0,undirected
"Allar-Deem","Tyrion-Lannister",4.0,undirected
"Allard-Seaworth","Davos-Seaworth",5.0,undirected
"Allard-Seaworth","Marya-Seaworth",5.0,undirected
"Allard-Seaworth","Stannis-Baratheon",3.0,undirected
"Alliser-Thorne","Jeor-Mormont",3.0,undirected
"Alliser-Thorne","Joffrey-Baratheon",4.0,undirected
"Alliser-Thorne","Jon-Snow",3.0,undirected
"Alliser-Thorne","Tyrion-Lannister",8.0,undirected
"Amabel","Arya-Stark",6.0,undirected
"Amabel","Harra",4.0,undirected
"Amory-Lorch","Arya-Stark",9.0,undirected
"Amory-Lorch","Cersei-Lannister",4.0,undirected
"Amory-Lorch","Chiswyck",4.0,undirected
"Amory-Lorch","Dunsen",3.0,undirected
"Amory-Lorch","Gendry",3.0,undirected
"Amory-Lorch","Gregor-Clegane",7.0,undirected
"Amory-Lorch","Hot-Pie",3.0,undirected
"Amory-Lorch","Ilyn-Payne",4.0,undirected
"Amory-Lorch","Joffrey-Baratheon",7.0,undirected
"Amory-Lorch","Meryn-Trant",5.0,undirected
"Amory-Lorch","Polliver",3.0,undirected
"Amory-Lorch","Rafford",5.0,undirected
"Amory-Lorch","Roose-Bolton",3.0,undirected
"Amory-Lorch","Sandor-Clegane",5.0,undirected
"Amory-Lorch","Tickler",5.0,undirected
"Amory-Lorch","Tywin-Lannister",4.0,undirected
"Amory-Lorch","Vargo-Hoat",7.0,undirected
"Amory-Lorch","Yoren",5.0,undirected
"Ardrian-Celtigar","Monford-Velaryon",5.0,undirected
"Aron-Santagar","Sandor-Clegane",3.0,undirected
"Arwyn-Oakheart","Randyll-Tarly",3.0,undirected
"Arya-Stark","Beric-Dondarrion",5.0,undirected
"Arya-Stark","Biter",10.0,undirected
"Arya-Stark","Bran-Stark",10.0,undirected
"Arya-Stark","Cersei-Lannister",5.0,undirected
"Arya-Stark","Chiswyck",8.0,undirected
"Arya-Stark","Dobber",4.0,undirected
"Arya-Stark","Dunsen",3.0,undirected
"Arya-Stark","Eddard-Stark",6.0,undirected
"Arya-Stark","Gendry",36.0,undirected
"Arya-Stark","Gregor-Clegane",4.0,undirected
"Arya-Stark","Harra",3.0,undirected
"Arya-Stark","Harren-Hoare",7.0,undirected
"Arya-Stark","Hot-Pie",51.0,undirected
"Arya-Stark","Jaime-Lannister",3.0,undirected
"Arya-Stark","Jaqen-Hghar",25.0,undirected
"Arya-Stark","Joffrey-Baratheon",4.0,undirected
"Arya-Stark","Jon-Snow",13.0,undirected
"Arya-Stark","Koss",3.0,undirected
"Arya-Stark","Lommy-Greenhands",31.0,undirected
"Arya-Stark","Nan",9.0,undirected
"Arya-Stark","Polliver",3.0,undirected
"Arya-Stark","Praed",3.0,undirected
"Arya-Stark","Rafford",5.0,undirected
"Arya-Stark","Rickon-Stark",5.0,undirected
"Arya-Stark","Robb-Stark",15.0,undirected
"Arya-Stark","Robert-Baratheon",4.0,undirected
"Arya-Stark","Roose-Bolton",11.0,undirected
"Arya-Stark","Rorge",13.0,undirected
"Arya-Stark","Sansa-Stark",19.0,undirected
"Arya-Stark","Syrio-Forel",5.0,undirected
"Arya-Stark","Tyrion-Lannister",4.0,undirected
"Arya-Stark","Tywin-Lannister",13.0,undirected
"Arya-Stark","Vargo-Hoat",5.0,undirected
"Arya-Stark","Weasel",10.0,undirected
"Arya-Stark","Weese",15.0,undirected
"Arya-Stark","Woth",3.0,undirected
"Arya-Stark","Yoren",28.0,undirected
"Arys-Oakheart","Joffrey-Baratheon",6.0,undirected
"Arys-Oakheart","Myrcella-Baratheon",4.0,undirected
"Arys-Oakheart","Sansa-Stark",3.0,undirected
"Asha-Greyjoy","Balon-Greyjoy",3.0,undirected
"Asha-Greyjoy","Dagmer",5.0,undirected
"Asha-Greyjoy","Theon-Greyjoy",32.0,undirected
"Asha-Greyjoy","Wex-Pyke",3.0,undirected
"Axell-Florent","Stannis-Baratheon",6.0,undirected
"Bael-the-Bard","Ygritte",5.0,undirected
"Ballabar","Tyrion-Lannister",4.0,undirected
"Balon-Greyjoy","Catelyn-Stark",3.0,undirected
"Balon-Greyjoy","Dagmer",3.0,undirected
"Balon-Greyjoy","Eddard-Stark",4.0,undirected
"Balon-Greyjoy","Robb-Stark",5.0,undirected
"Balon-Greyjoy","Robert-Baratheon",4.0,undirected
"Balon-Greyjoy","Theon-Greyjoy",27.0,undirected
"Balon-Greyjoy","Victarion-Greyjoy",4.0,undirected
"Balon-Swann","Joffrey-Baratheon",6.0,undirected
"Balon-Swann","Mandon-Moore",3.0,undirected
"Balon-Swann","Meryn-Trant",3.0,undirected
"Balon-Swann","Osmund-Kettleblack",4.0,undirected
"Balon-Swann","Tyrion-Lannister",8.0,undirected
"Barristan-Selmy","Belwas",5.0,undirected
"Barristan-Selmy","Cersei-Lannister",5.0,undirected
"Barristan-Selmy","Joffrey-Baratheon",7.0,undirected
"Barristan-Selmy","Robert-Baratheon",3.0,undirected
"Barristan-Selmy","Varys",3.0,undirected
"Belwas","Daenerys-Targaryen",4.0,undirected
"Belwas","Jhogo",3.0,undirected
"Belwas","Jorah-Mormont",4.0,undirected
"Benfred-Tallhart","Helman-Tallhart",3.0,undirected
"Benfred-Tallhart","Leobald-Tallhart",3.0,undirected
"Benfred-Tallhart","Stygg",3.0,undirected
"Benfred-Tallhart","Theon-Greyjoy",7.0,undirected
"Benjen-Stark","Jeor-Mormont",5.0,undirected
"Beth-Cassel","Bran-Stark",5.0,undirected
"Beth-Cassel","Rodrik-Cassel",4.0,undirected
"Beth-Cassel","Theon-Greyjoy",3.0,undirected
"Biter","Jaqen-Hghar",12.0,undirected
"Biter","Rorge",14.0,undirected
"Biter","Yoren",3.0,undirected
"Boros-Blount","Cersei-Lannister",7.0,undirected
"Boros-Blount","Gyles-Rosby",5.0,undirected
"Boros-Blount","Joffrey-Baratheon",11.0,undirected
"Boros-Blount","Meryn-Trant",13.0,undirected
"Boros-Blount","Sansa-Stark",8.0,undirected
"Boros-Blount","Tanda-Stokeworth",3.0,undirected
"Boros-Blount","Tommen-Baratheon",3.0,undirected
"Boros-Blount","Tyrion-Lannister",8.0,undirected
"Bran-Stark","Catelyn-Stark",3.0,undirected
"Bran-Stark","Chayle",3.0,undirected
"Bran-Stark","Cley-Cerwyn",5.0,undirected
"Bran-Stark","Donella-Hornwood",5.0,undirected
"Bran-Stark","Eddard-Stark",4.0,undirected
"Bran-Stark","Hayhead",6.0,undirected
"Bran-Stark","Hodor",58.0,undirected
"Bran-Stark","Howland-Reed",3.0,undirected
"Bran-Stark","Jojen-Reed",46.0,undirected
"Bran-Stark","Jon-Snow",11.0,undirected
"Bran-Stark","Luwin",33.0,undirected
"Bran-Stark","Meera-Reed",36.0,undirected
"Bran-Stark","Mikken",10.0,undirected
"Bran-Stark","Nan",7.0,undirected
"Bran-Stark","Osha",28.0,undirected
"Bran-Stark","Poxy-Tym",3.0,undirected
"Bran-Stark","Ramsay-Snow",5.0,undirected
"Bran-Stark","Reek",4.0,undirected
"Bran-Stark","Rickon-Stark",54.0,undirected
"Bran-Stark","Robb-Stark",26.0,undirected
"Bran-Stark","Rodrik-Cassel",31.0,undirected
"Bran-Stark","Sansa-Stark",5.0,undirected
"Bran-Stark","Stafford-Lannister",3.0,undirected
"Bran-Stark","Theon-Greyjoy",24.0,undirected
"Bran-Stark","Walder-Frey-(son-of-Jammos)",5.0,undirected
