Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,PageRank
Eddard S,,3.0,1.68,2267.9241691200696,0.04748555443035645
Jon S,,4.0,1.976,1343.2391101545497,0.03253741486742942
Jon A,,4.0,2.264,20.594020590318873,0.01114656966670028
Tyrion L,,4.0,1.888,1637.5829342747606,0.040786403572941214
Bran S,,4.0,2.048,326.1439060077064,0.019850257664959316
Brandon S,,4.0,2.616,0.9047619047619047,0.005548155263001607
Daenerys T,,4.0,2.392,1424.0888853625304,0.020459684951359067
Catelyn S,,4.0,1.912,1029.7028885538693,0.03440842607710486
Arya S,,4.0,2.136,197.86281793133534,0.01907024286717211
Robert B,,3.0,1.792,1301.081878608809,0.03038338338516816
Sansa S,,4.0,1.952,683.4143536654473,0.02799856047412701
Robb S,,4.0,1.944,708.7417068964901,0.02792241170938004
Joffrey B,,4.0,2.08,195.42515611377297,0.01986143719417645
Petyr B,,4.0,2.176,70.0193460540422,0.016303111571372087
Jaime L,,4.0,2.16,109.57321517942832,0.01685400561949344
Tywin L,,4.0,2.208,257.1016668633434,0.01594928341629476
Luwin,,4.0,2.2,73.0163443857484,0.011612973423420853
Lysa A,,4.0,2.304,84.33291278187082,0.011419894452768593
Varys,,4.0,2.36,14.51336352002693,0.011720537530260111
Rodrik C,,4.0,2.248,50.77215823392296,0.011944086096892821
Cersei L,,4.0,2.152,134.8744922793531,0.018968753471855795
Renly B,,4.0,2.32,22.266975694584055,0.011861864654832743
Septa M,,4.0,2.544,18.564360907909297,0.007148734634690803
Pycelle,,4.0,2.496,125.38359788359787,0.010791104293639298
Sandor C,,4.0,2.464,39.92523277404854,0.011445356732589425
Jory C,,4.0,2.216,189.72207448983764,0.015464301726556249
Gregor C,,4.0,2.328,182.05598483216124,0.008806215469177328
Stannis B,,4.0,2.528,2.2169543419543416,0.007600528354711152
Theon G,,4.0,2.272,69.72079610883912,0.012438964604838476
Barristan S,,4.0,2.528,0.8192364640190727,0.008306413636317352
Rickon S,,4.0,2.336,1.1333694083694081,0.007256262714289479
Syrio F,,4.0,2.608,7.887078199578197,0.003926144260597725
Loras T,,4.0,2.56,15.26626984126984,0.006644595522970513
Rhaegar T,,4.0,2.52,61.517999602199374,0.005774728156345074
Tom,,4.0,2.608,2.3666666666666667,0.005063024803169681
Aerys T,,4.0,2.608,0.43803418803418803,0.004570134744399296
Lyanna,,4.0,2.576,1.273051948051948,0.00459479646787847
Janos S,,4.0,2.624,0.0,0.0035836765128988996
Ilyn P,,4.0,2.56,0.14285714285714285,0.005228170878938698
Alyn,,4.0,2.648,0.0,0.0040812043653200136
Rickard K,,4.0,2.424,31.911560661560674,0.006922544699874968
Desmond,,4.0,2.672,0.0,0.0020490472745553125
Vayon P,,4.0,2.672,0.0,0.0020490472745553125
