id,label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Closeness Centrality
Eddard S,Eddard,,47,1050,3,0.595238095,0.678666667,2267.924169,0,0.047485554,0,0.174838113,189,1,1.68
Tyrion L,Tyrion,,36,527,4,0.529661017,0.616,1637.582934,2,0.040786404,0,0.177777778,112,0.742961866,1.888
Catelyn S,Catelyn,,33,428,4,0.523012552,0.604,1029.702889,5,0.034408426,0,0.223484848,118,0.744205662,1.912
Jon S,Jon,,28,615,4,0.506072874,0.580666667,1343.23911,1,0.032537415,0,0.214285714,81,0.570907109,1.976
Robert B,Robert,,33,715,3,0.558035714,0.622666667,1301.081879,0,0.030383383,0,0.289772727,153,0.858318024,1.792
Sansa S,Sansa,,29,482,4,0.512295082,0.586666667,683.4143537,4,0.02799856,0,0.283251232,115,0.728594218,1.952
Robb S,Robb,,28,441,4,0.514403292,0.585333333,708.7417069,5,0.027922412,0,0.267195767,101,0.670085258,1.944
Daenerys T,Daenerys,,17,362,4,0.418060201,0.483333333,1424.088885,3,0.020459685,0,0.25,34,0.175470205,2.392
Joffrey B,Joffrey,,22,339,4,0.480769231,0.547333333,195.4251561,4,0.019861437,0,0.406926407,94,0.643043323,2.08
Bran S,Bran,,20,433,4,0.48828125,0.547333333,326.143906,5,0.019850258,0,0.378947368,72,0.550697493,2.048
Arya S,Arya,,20,378,4,0.468164794,0.533333333,197.8628179,4,0.019070243,0,0.368421053,70,0.545054799,2.136
Cersei L,Cersei,,21,292,4,0.464684015,0.533333333,134.8744923,0,0.018968753,0,0.466666667,98,0.641646151,2.152
Drogo,Drogo,,14,167,5,0.307125307,0.373333333,264.6904762,3,0.01871437,0,0.285714286,26,0.062803229,3.256
Jaime L,Jaime,,18,180,4,0.462962963,0.522666667,109.5732152,2,0.016854006,0,0.444444444,68,0.54944713,2.16
Petyr B,Petyr,,18,253,4,0.459558824,0.520666667,70.01934605,0,0.016303112,0,0.54248366,83,0.586309213,2.176
Tywin L,Tywin,,15,150,4,0.452898551,0.506666667,257.1016669,2,0.015949283,0,0.333333333,35,0.401520994,2.208
Jory C,Jory,,15,123,4,0.451263538,0.507333333,189.7220745,0,0.015464302,0,0.40952381,43,0.462193457,2.216
Theon G,Theon,,12,93,4,0.440140845,0.489333333,69.72079611,5,0.012438965,0,0.46969697,31,0.315237009,2.272
Samwell T,Samwell,,9,130,5,0.362318841,0.411866667,153.6309524,1,0.012092737,0,0.361111111,13,0.110148586,2.76
Rodrik C,Rodrik,,12,96,4,0.444839858,0.492666667,50.77215823,5,0.011944086,0,0.5,33,0.383167766,2.248
Renly B,Renly,,13,158,4,0.431034483,0.484666667,22.26697569,0,0.011861865,0,0.692307692,54,0.4444161,2.32
Varys,Varys,,13,191,4,0.423728814,0.478,14.51336352,0,0.011720538,0,0.705128205,55,0.449891286,2.36
Luwin,Luwin,,11,135,4,0.454545455,0.498,73.01634439,5,0.011612973,0,0.581818182,32,0.32994352,2.2
Sandor C,Sandor,,12,109,4,0.405844156,0.458666667,39.92523277,4,0.011445357,0,0.53030303,35,0.375561129,2.464
Lysa A,Lysa,,11,112,4,0.434027778,0.480666667,84.33291278,2,0.011419894,0,0.527272727,29,0.340451958,2.304
Jon A,Jon Arryn,,12,143,4,0.441696113,0.490666667,20.59402059,0,0.01114657,0,0.681818182,45,0.440607777,2.264
